# stage=numpy size=medium precision=fp32 warmup=20 measure=2000 core=3
stage,size,precision,iteration,nanoseconds
numpy,medium,fp32,0,30230607
numpy,medium,fp32,1,30408995
numpy,medium,fp32,2,30250773
numpy,medium,fp32,3,33333949
numpy,medium,fp32,4,30221656
numpy,medium,fp32,5,30314776
numpy,medium,fp32,6,30221514
numpy,medium,fp32,7,30311078
numpy,medium,fp32,8,30305951
numpy,medium,fp32,9,30343956
numpy,medium,fp32,10,30359152
numpy,medium,fp32,11,30207005
numpy,medium,fp32,12,30259400
numpy,medium,fp32,13,30207385
numpy,medium,fp32,14,33305432
numpy,medium,fp32,15,30169462
numpy,medium,fp32,16,30340379
numpy,medium,fp32,17,30357006
numpy,medium,fp32,18,30301605
numpy,medium,fp32,19,30247386
numpy,medium,fp32,20,30302685
numpy,medium,fp32,21,30270325
numpy,medium,fp32,22,30335050
numpy,medium,fp32,23,30320156
numpy,medium,fp32,24,33371120
numpy,medium,fp32,25,30378377
numpy,medium,fp32,26,30300136
numpy,medium,fp32,27,30364208
numpy,medium,fp32,28,30415858
numpy,medium,fp32,29,30452178
numpy,medium,fp32,30,30382219
numpy,medium,fp32,31,30254226
numpy,medium,fp32,32,33262363
numpy,medium,fp32,33,30419284
numpy,medium,fp32,34,30346108
numpy,medium,fp32,35,30265762
numpy,medium,fp32,36,30317050
numpy,medium,fp32,37,30405260
numpy,medium,fp32,38,30215402
numpy,medium,fp32,39,30359935
numpy,medium,fp32,40,30259607
numpy,medium,fp32,41,33305183
numpy,medium,fp32,42,30187910
numpy,medium,fp32,43,30342343
numpy,medium,fp32,44,30287477
numpy,medium,fp32,45,30318051
numpy,medium,fp32,46,30429214
numpy,medium,fp32,47,30253010
numpy,medium,fp32,48,30309912
numpy,medium,fp32,49,30286504
numpy,medium,fp32,50,30388917
numpy,medium,fp32,51,33212711
numpy,medium,fp32,52,30376787
numpy,medium,fp32,53,30364373
numpy,medium,fp32,54,30268430
numpy,medium,fp32,55,30276432
numpy,medium,fp32,56,33336985
numpy,medium,fp32,57,30218341
numpy,medium,fp32,58,30253450
numpy,medium,fp32,59,30367858
numpy,medium,fp32,60,30369425
numpy,medium,fp32,61,33303895
numpy,medium,fp32,62,30335365
numpy,medium,fp32,63,30367458
numpy,medium,fp32,64,30321930
numpy,medium,fp32,65,30324768
