# stage=numpy size=small precision=fp32 warmup=20 measure=2000 core=3
stage,size,precision,iteration,nanoseconds
numpy,small,fp32,0,6191303
numpy,small,fp32,1,9836330
numpy,small,fp32,2,6813257
numpy,small,fp32,3,6829653
numpy,small,fp32,4,9766862
numpy,small,fp32,5,6726672
numpy,small,fp32,6,6791872
numpy,small,fp32,7,6788403
numpy,small,fp32,8,9775842
numpy,small,fp32,9,6742738
numpy,small,fp32,10,6764904
numpy,small,fp32,11,6756009
numpy,small,fp32,12,9875773
numpy,small,fp32,13,6803200
numpy,small,fp32,14,6777418
numpy,small,fp32,15,6745312
numpy,small,fp32,16,9734835
numpy,small,fp32,17,6697297
numpy,small,fp32,18,6717934
numpy,small,fp32,19,6766622
numpy,small,fp32,20,9837664
numpy,small,fp32,21,6749991
numpy,small,fp32,22,6869820
numpy,small,fp32,23,6723959
numpy,small,fp32,24,9831460
numpy,small,fp32,25,6776770
numpy,small,fp32,26,6789961
numpy,small,fp32,27,9744147
numpy,small,fp32,28,6722224
numpy,small,fp32,29,6775677
numpy,small,fp32,30,6784418
numpy,small,fp32,31,9799513
numpy,small,fp32,32,6756833
numpy,small,fp32,33,6724975
numpy,small,fp32,34,6685169
numpy,small,fp32,35,6683246
numpy,small,fp32,36,9824440
numpy,small,fp32,37,6811609
numpy,small,fp32,38,6826388
numpy,small,fp32,39,9815056
numpy,small,fp32,40,6780272
numpy,small,fp32,41,6752203
numpy,small,fp32,42,6737366
numpy,small,fp32,43,9793109
numpy,small,fp32,44,6872643
numpy,small,fp32,45,6762974
numpy,small,fp32,46,6723511
numpy,small,fp32,47,9827410
numpy,small,fp32,48,6791776
numpy,small,fp32,49,6734325
numpy,small,fp32,50,6780931
numpy,small,fp32,51,9794504
numpy,small,fp32,52,6796100
numpy,small,fp32,53,6788948
numpy,small,fp32,54,9776032
numpy,small,fp32,55,6814563
numpy,small,fp32,56,6736249
numpy,small,fp32,57,6713849
numpy,small,fp32,58,6695138
numpy,small,fp32,59,9760863
numpy,small,fp32,60,6757249
numpy,small,fp32,61,6783658
numpy,small,fp32,62,9722798
numpy,small,fp32,63,6780629
numpy,small,fp32,64,6773173
numpy,small,fp32,65,6720443
numpy,small,fp32,66,9810265
numpy,small,fp32,67,6752780
numpy,small,fp32,68,6795913
numpy,small,fp32,69,6755674
numpy,small,fp32,70,9821103
numpy,small,fp32,71,6815877
numpy,small,fp32,72,6814938
numpy,small,fp32,73,6793480
numpy,small,fp32,74,9780672
numpy,small,fp32,75,6741979
numpy,small,fp32,76,6709383
numpy,small,fp32,77,6725811
numpy,small,fp32,78,9753389
numpy,small,fp32,79,6818479
numpy,small,fp32,80,6744993
numpy,small,fp32,81,6709282
numpy,small,fp32,82,9813784
numpy,small,fp32,83,6784822
numpy,small,fp32,84,6792945
numpy,small,fp32,85,6783721
numpy,small,fp32,86,9808594
numpy,small,fp32,87,6761186
numpy,small,fp32,88,6779528
numpy,small,fp32,89,6769091
numpy,small,fp32,90,9853808
numpy,small,fp32,91,6726170
numpy,small,fp32,92,6741609
numpy,small,fp32,93,9721365
numpy,small,fp32,94,6710122
numpy,small,fp32,95,6747105
numpy,small,fp32,96,6818127
numpy,small,fp32,97,9789673
numpy,small,fp32,98,6741843
numpy,small,fp32,99,6769765
numpy,small,fp32,100,6740219
numpy,small,fp32,101,9832548
numpy,small,fp32,102,6742615
numpy,small,fp32,103,6692961
numpy,small,fp32,104,6822760
numpy,small,fp32,105,9814775
numpy,small,fp32,106,6764381
numpy,small,fp32,107,6809472
numpy,small,fp32,108,6811947
numpy,small,fp32,109,9759764
numpy,small,fp32,110,6772887
numpy,small,fp32,111,6729916
numpy,small,fp32,112,6703492
numpy,small,fp32,113,9771084
numpy,small,fp32,114,6715314
numpy,small,fp32,115,6879550
numpy,small,fp32,116,6742399
numpy,small,fp32,117,9791048
numpy,small,fp32,118,6780364
numpy,small,fp32,119,6751409
numpy,small,fp32,120,6723694
numpy,small,fp32,121,9816067
numpy,small,fp32,122,6759365
numpy,small,fp32,123,6748263
numpy,small,fp32,124,6759271
numpy,small,fp32,125,9765014
numpy,small,fp32,126,6864974
numpy,small,fp32,127,6718375
numpy,small,fp32,128,6712229
numpy,small,fp32,129,9699261
numpy,small,fp32,130,6746184
numpy,small,fp32,131,6700719
numpy,small,fp32,132,6780354
numpy,small,fp32,133,9805259
numpy,small,fp32,134,6762065
numpy,small,fp32,135,6757202
numpy,small,fp32,136,6735044
numpy,small,fp32,137,9781054
numpy,small,fp32,138,6730527
numpy,small,fp32,139,6798860
numpy,small,fp32,140,6723394
numpy,small,fp32,141,9780166
numpy,small,fp32,142,6774348
numpy,small,fp32,143,6788496
numpy,small,fp32,144,9843240
numpy,small,fp32,145,6805595
numpy,small,fp32,146,6730562
numpy,small,fp32,147,6713997
numpy,small,fp32,148,9768251
numpy,small,fp32,149,6742624
numpy,small,fp32,150,6839295
numpy,small,fp32,151,6757712
numpy,small,fp32,152,9740069
numpy,small,fp32,153,6800742
numpy,small,fp32,154,6758367
numpy,small,fp32,155,6780018
numpy,small,fp32,156,9788226
numpy,small,fp32,157,6885830
numpy,small,fp32,158,6943117
numpy,small,fp32,159,9912702
numpy,small,fp32,160,6926416
numpy,small,fp32,161,6875713
numpy,small,fp32,162,6765375
numpy,small,fp32,163,9756218
numpy,small,fp32,164,6781545
numpy,small,fp32,165,6758636
numpy,small,fp32,166,6744230
numpy,small,fp32,167,9820181
numpy,small,fp32,168,6769029
numpy,small,fp32,169,6692558
numpy,small,fp32,170,6777412
numpy,small,fp32,171,9790149
numpy,small,fp32,172,6758867
numpy,small,fp32,173,6717516
