# stage=onnxruntime size=medium precision=fp32 warmup=200 measure=10000 core=3
stage,size,precision,iteration,nanoseconds
onnxruntime,medium,fp32,0,10582090
onnxruntime,medium,fp32,1,7549407
onnxruntime,medium,fp32,2,10583340
onnxruntime,medium,fp32,3,7623111
onnxruntime,medium,fp32,4,10567983
onnxruntime,medium,fp32,5,7585383
onnxruntime,medium,fp32,6,10572403
onnxruntime,medium,fp32,7,7534570
onnxruntime,medium,fp32,8,10604680
onnxruntime,medium,fp32,9,7618945
onnxruntime,medium,fp32,10,10596762
onnxruntime,medium,fp32,11,7551974
onnxruntime,medium,fp32,12,10584562
onnxruntime,medium,fp32,13,10620442
onnxruntime,medium,fp32,14,7575066
onnxruntime,medium,fp32,15,10556603
onnxruntime,medium,fp32,16,7535080
onnxruntime,medium,fp32,17,10610341
onnxruntime,medium,fp32,18,7581224
onnxruntime,medium,fp32,19,10599471
onnxruntime,medium,fp32,20,7570305
onnxruntime,medium,fp32,21,10539429
onnxruntime,medium,fp32,22,7587545
onnxruntime,medium,fp32,23,10579789
onnxruntime,medium,fp32,24,7571225
onnxruntime,medium,fp32,25,10550579
onnxruntime,medium,fp32,26,7601374
onnxruntime,medium,fp32,27,10612798
onnxruntime,medium,fp32,28,7550113
onnxruntime,medium,fp32,29,10572955
onnxruntime,medium,fp32,30,7575925
onnxruntime,medium,fp32,31,10575262
onnxruntime,medium,fp32,32,10641740
onnxruntime,medium,fp32,33,7620109
onnxruntime,medium,fp32,34,10625140
onnxruntime,medium,fp32,35,7616125
onnxruntime,medium,fp32,36,10587553
onnxruntime,medium,fp32,37,7554762
onnxruntime,medium,fp32,38,10616127
onnxruntime,medium,fp32,39,7602315
onnxruntime,medium,fp32,40,10612105
onnxruntime,medium,fp32,41,7620533
onnxruntime,medium,fp32,42,10593502
onnxruntime,medium,fp32,43,7546804
onnxruntime,medium,fp32,44,10544259
onnxruntime,medium,fp32,45,7526169
onnxruntime,medium,fp32,46,10585706
onnxruntime,medium,fp32,47,7603028
onnxruntime,medium,fp32,48,10661189
onnxruntime,medium,fp32,49,10597903
onnxruntime,medium,fp32,50,7572001
onnxruntime,medium,fp32,51,10560304
onnxruntime,medium,fp32,52,7584797
onnxruntime,medium,fp32,53,10565865
onnxruntime,medium,fp32,54,7578090
onnxruntime,medium,fp32,55,10582206
onnxruntime,medium,fp32,56,7694471
onnxruntime,medium,fp32,57,10661027
onnxruntime,medium,fp32,58,7617114
onnxruntime,medium,fp32,59,10591168
onnxruntime,medium,fp32,60,7532428
onnxruntime,medium,fp32,61,10697992
onnxruntime,medium,fp32,62,10659244
onnxruntime,medium,fp32,63,7614492
onnxruntime,medium,fp32,64,10559724
onnxruntime,medium,fp32,65,7531460
onnxruntime,medium,fp32,66,10562366
onnxruntime,medium,fp32,67,7540652
onnxruntime,medium,fp32,68,10569690
onnxruntime,medium,fp32,69,7564300
onnxruntime,medium,fp32,70,10647092
onnxruntime,medium,fp32,71,7622031
onnxruntime,medium,fp32,72,10572468
onnxruntime,medium,fp32,73,7541984
onnxruntime,medium,fp32,74,10571892
onnxruntime,medium,fp32,75,7544811
onnxruntime,medium,fp32,76,10614399
onnxruntime,medium,fp32,77,7599215
onnxruntime,medium,fp32,78,10587013
onnxruntime,medium,fp32,79,7568923
onnxruntime,medium,fp32,80,10568499
onnxruntime,medium,fp32,81,10570334
onnxruntime,medium,fp32,82,7545800
onnxruntime,medium,fp32,83,10572934
onnxruntime,medium,fp32,84,7617250
onnxruntime,medium,fp32,85,10637852
onnxruntime,medium,fp32,86,7569257
onnxruntime,medium,fp32,87,10588646
onnxruntime,medium,fp32,88,7576685
onnxruntime,medium,fp32,89,10562144
onnxruntime,medium,fp32,90,7608577
onnxruntime,medium,fp32,91,10570643
onnxruntime,medium,fp32,92,7585036
onnxruntime,medium,fp32,93,10564300
onnxruntime,medium,fp32,94,7518462
onnxruntime,medium,fp32,95,10561291
onnxruntime,medium,fp32,96,7534714
onnxruntime,medium,fp32,97,10613511
onnxruntime,medium,fp32,98,7579144
onnxruntime,medium,fp32,99,10636625
onnxruntime,medium,fp32,100,10598293
onnxruntime,medium,fp32,101,7574470
onnxruntime,medium,fp32,102,10571268
onnxruntime,medium,fp32,103,7525765
onnxruntime,medium,fp32,104,10589429
onnxruntime,medium,fp32,105,7552437
onnxruntime,medium,fp32,106,10547883
onnxruntime,medium,fp32,107,7554776
onnxruntime,medium,fp32,108,10518517
onnxruntime,medium,fp32,109,7491956
onnxruntime,medium,fp32,110,10550795
onnxruntime,medium,fp32,111,7566592
onnxruntime,medium,fp32,112,10567256
onnxruntime,medium,fp32,113,7590114
onnxruntime,medium,fp32,114,10709598
onnxruntime,medium,fp32,115,7647032
onnxruntime,medium,fp32,116,10617734
onnxruntime,medium,fp32,117,7569122
onnxruntime,medium,fp32,118,10585598
onnxruntime,medium,fp32,119,10583418
onnxruntime,medium,fp32,120,7575907
onnxruntime,medium,fp32,121,10596668
onnxruntime,medium,fp32,122,7537367
onnxruntime,medium,fp32,123,10501227
onnxruntime,medium,fp32,124,7514741
onnxruntime,medium,fp32,125,10568173
onnxruntime,medium,fp32,126,7597813
onnxruntime,medium,fp32,127,10608893
onnxruntime,medium,fp32,128,7607144
onnxruntime,medium,fp32,129,10596093
onnxruntime,medium,fp32,130,7552196
onnxruntime,medium,fp32,131,10532239
onnxruntime,medium,fp32,132,7549480
onnxruntime,medium,fp32,133,10632792
onnxruntime,medium,fp32,134,7565614
onnxruntime,medium,fp32,135,10598266
onnxruntime,medium,fp32,136,7553679
onnxruntime,medium,fp32,137,10502369
onnxruntime,medium,fp32,138,7490473
onnxruntime,medium,fp32,139,10574150
onnxruntime,medium,fp32,140,7583661
onnxruntime,medium,fp32,141,10592237
onnxruntime,medium,fp32,142,10639646
onnxruntime,medium,fp32,143,7589289
onnxruntime,medium,fp32,144,10542261
onnxruntime,medium,fp32,145,7529428
onnxruntime,medium,fp32,146,10511265
onnxruntime,medium,fp32,147,7517284
onnxruntime,medium,fp32,148,10603989
onnxruntime,medium,fp32,149,7602304
onnxruntime,medium,fp32,150,10583137
onnxruntime,medium,fp32,151,7550512
onnxruntime,medium,fp32,152,10522387
onnxruntime,medium,fp32,153,7586019
onnxruntime,medium,fp32,154,10584612
onnxruntime,medium,fp32,155,7559332
onnxruntime,medium,fp32,156,10578306
onnxruntime,medium,fp32,157,7623623
onnxruntime,medium,fp32,158,10632313
onnxruntime,medium,fp32,159,7572248
onnxruntime,medium,fp32,160,10546119
onnxruntime,medium,fp32,161,7533242
onnxruntime,medium,fp32,162,10601814
onnxruntime,medium,fp32,163,10604433
onnxruntime,medium,fp32,164,7621015
onnxruntime,medium,fp32,165,10594442
onnxruntime,medium,fp32,166,7578212
onnxruntime,medium,fp32,167,10570231
onnxruntime,medium,fp32,168,7594429
onnxruntime,medium,fp32,169,10562562
onnxruntime,medium,fp32,170,7572671
onnxruntime,medium,fp32,171,10610009
onnxruntime,medium,fp32,172,7685854
onnxruntime,medium,fp32,173,10643794
onnxruntime,medium,fp32,174,7599889
onnxruntime,medium,fp32,175,10595923
onnxruntime,medium,fp32,176,7561638
onnxruntime,medium,fp32,177,10650205
onnxruntime,medium,fp32,178,10576163
onnxruntime,medium,fp32,179,7563786
onnxruntime,medium,fp32,180,10550134
onnxruntime,medium,fp32,181,7526976
onnxruntime,medium,fp32,182,10556835
onnxruntime,medium,fp32,183,7606802
onnxruntime,medium,fp32,184,10621448
onnxruntime,medium,fp32,185,7577569
onnxruntime,medium,fp32,186,10542954
onnxruntime,medium,fp32,187,7561174
onnxruntime,medium,fp32,188,10603523
onnxruntime,medium,fp32,189,7620143
onnxruntime,medium,fp32,190,10639299
onnxruntime,medium,fp32,191,7658573
onnxruntime,medium,fp32,192,10652562
onnxruntime,medium,fp32,193,10607141
onnxruntime,medium,fp32,194,7567714
onnxruntime,medium,fp32,195,10541050
onnxruntime,medium,fp32,196,7577154
onnxruntime,medium,fp32,197,10605501
onnxruntime,medium,fp32,198,7603419
onnxruntime,medium,fp32,199,10621298
onnxruntime,medium,fp32,200,7557762
onnxruntime,medium,fp32,201,10646811
onnxruntime,medium,fp32,202,7601814
onnxruntime,medium,fp32,203,10606922
onnxruntime,medium,fp32,204,7575186
onnxruntime,medium,fp32,205,10612588
onnxruntime,medium,fp32,206,7599450
onnxruntime,medium,fp32,207,10631304
onnxruntime,medium,fp32,208,10600463
onnxruntime,medium,fp32,209,7578017
onnxruntime,medium,fp32,210,10586486
onnxruntime,medium,fp32,211,7630921
onnxruntime,medium,fp32,212,10696421
onnxruntime,medium,fp32,213,7646524
onnxruntime,medium,fp32,214,10551073
onnxruntime,medium,fp32,215,7555959
onnxruntime,medium,fp32,216,10570106
onnxruntime,medium,fp32,217,7614257
onnxruntime,medium,fp32,218,10606461
onnxruntime,medium,fp32,219,7614192
onnxruntime,medium,fp32,220,10615868
onnxruntime,medium,fp32,221,7610369
onnxruntime,medium,fp32,222,10626422
onnxruntime,medium,fp32,223,10580666
onnxruntime,medium,fp32,224,7555183
onnxruntime,medium,fp32,225,10603592
onnxruntime,medium,fp32,226,7655811
onnxruntime,medium,fp32,227,10611150
onnxruntime,medium,fp32,228,7582667
onnxruntime,medium,fp32,229,10556042
onnxruntime,medium,fp32,230,7567819
onnxruntime,medium,fp32,231,10647289
onnxruntime,medium,fp32,232,7606308
onnxruntime,medium,fp32,233,10591122
onnxruntime,medium,fp32,234,7650150
onnxruntime,medium,fp32,235,10622790
onnxruntime,medium,fp32,236,10608850
onnxruntime,medium,fp32,237,7585420
onnxruntime,medium,fp32,238,10605083
onnxruntime,medium,fp32,239,7630568
onnxruntime,medium,fp32,240,10654162
onnxruntime,medium,fp32,241,7638586
onnxruntime,medium,fp32,242,10574950
onnxruntime,medium,fp32,243,7561719
onnxruntime,medium,fp32,244,10604574
onnxruntime,medium,fp32,245,7642910
onnxruntime,medium,fp32,246,10633390
onnxruntime,medium,fp32,247,7599121
onnxruntime,medium,fp32,248,10632580
onnxruntime,medium,fp32,249,10599844
onnxruntime,medium,fp32,250,7576003
onnxruntime,medium,fp32,251,10599891
onnxruntime,medium,fp32,252,7577922
onnxruntime,medium,fp32,253,10645398
onnxruntime,medium,fp32,254,7640652
onnxruntime,medium,fp32,255,10631782
onnxruntime,medium,fp32,256,7585438
onnxruntime,medium,fp32,257,10612783
onnxruntime,medium,fp32,258,7583468
onnxruntime,medium,fp32,259,10589413
onnxruntime,medium,fp32,260,7625341
onnxruntime,medium,fp32,261,10595715
onnxruntime,medium,fp32,262,7595859
onnxruntime,medium,fp32,263,10573475
onnxruntime,medium,fp32,264,10573994
onnxruntime,medium,fp32,265,7573851
onnxruntime,medium,fp32,266,10583341
onnxruntime,medium,fp32,267,7570106
onnxruntime,medium,fp32,268,10600710
onnxruntime,medium,fp32,269,7677165
onnxruntime,medium,fp32,270,10648070
onnxruntime,medium,fp32,271,7604435
onnxruntime,medium,fp32,272,10560116
onnxruntime,medium,fp32,273,7569508
onnxruntime,medium,fp32,274,10601654
onnxruntime,medium,fp32,275,7652048
onnxruntime,medium,fp32,276,10616993
onnxruntime,medium,fp32,277,7580321
onnxruntime,medium,fp32,278,10565947
onnxruntime,medium,fp32,279,10542797
onnxruntime,medium,fp32,280,7542112
onnxruntime,medium,fp32,281,10608496
onnxruntime,medium,fp32,282,7623384
