# stage=onnxruntime size=small precision=fp32 warmup=200 measure=10000 core=3
stage,size,precision,iteration,nanoseconds
onnxruntime,small,fp32,0,852639
onnxruntime,small,fp32,1,3860189
onnxruntime,small,fp32,2,862179
onnxruntime,small,fp32,3,841206
onnxruntime,small,fp32,4,838914
onnxruntime,small,fp32,5,3866269
onnxruntime,small,fp32,6,863002
onnxruntime,small,fp32,7,851407
onnxruntime,small,fp32,8,3844671
onnxruntime,small,fp32,9,844588
onnxruntime,small,fp32,10,839767
onnxruntime,small,fp32,11,842719
onnxruntime,small,fp32,12,3845742
onnxruntime,small,fp32,13,840254
onnxruntime,small,fp32,14,837044
onnxruntime,small,fp32,15,835775
onnxruntime,small,fp32,16,3877728
onnxruntime,small,fp32,17,857104
onnxruntime,small,fp32,18,858486
onnxruntime,small,fp32,19,3868215
onnxruntime,small,fp32,20,853892
onnxruntime,small,fp32,21,842642
onnxruntime,small,fp32,22,849425
onnxruntime,small,fp32,23,3873884
onnxruntime,small,fp32,24,855840
onnxruntime,small,fp32,25,857905
onnxruntime,small,fp32,26,3869581
onnxruntime,small,fp32,27,850785
onnxruntime,small,fp32,28,842976
onnxruntime,small,fp32,29,837349
onnxruntime,small,fp32,30,3871751
onnxruntime,small,fp32,31,860745
onnxruntime,small,fp32,32,840862
onnxruntime,small,fp32,33,3845305
onnxruntime,small,fp32,34,850248
onnxruntime,small,fp32,35,841019
onnxruntime,small,fp32,36,842971
onnxruntime,small,fp32,37,3845657
onnxruntime,small,fp32,38,843034
onnxruntime,small,fp32,39,845062
onnxruntime,small,fp32,40,3848293
onnxruntime,small,fp32,41,847779
onnxruntime,small,fp32,42,845020
onnxruntime,small,fp32,43,837399
onnxruntime,small,fp32,44,3857199
onnxruntime,small,fp32,45,852193
onnxruntime,small,fp32,46,845942
onnxruntime,small,fp32,47,3859903
onnxruntime,small,fp32,48,856376
onnxruntime,small,fp32,49,842714
onnxruntime,small,fp32,50,841447
onnxruntime,small,fp32,51,3881662
onnxruntime,small,fp32,52,863356
onnxruntime,small,fp32,53,846586
onnxruntime,small,fp32,54,3851276
onnxruntime,small,fp32,55,852239
onnxruntime,small,fp32,56,841459
onnxruntime,small,fp32,57,840354
onnxruntime,small,fp32,58,3847146
onnxruntime,small,fp32,59,846257
onnxruntime,small,fp32,60,847012
onnxruntime,small,fp32,61,3855392
onnxruntime,small,fp32,62,845150
onnxruntime,small,fp32,63,843689
onnxruntime,small,fp32,64,841352
onnxruntime,small,fp32,65,3851778
onnxruntime,small,fp32,66,844564
onnxruntime,small,fp32,67,837193
onnxruntime,small,fp32,68,3851207
onnxruntime,small,fp32,69,873776
onnxruntime,small,fp32,70,852547
onnxruntime,small,fp32,71,843864
onnxruntime,small,fp32,72,3868641
onnxruntime,small,fp32,73,859912
onnxruntime,small,fp32,74,844902
onnxruntime,small,fp32,75,3843821
onnxruntime,small,fp32,76,844766
onnxruntime,small,fp32,77,840239
onnxruntime,small,fp32,78,841728
onnxruntime,small,fp32,79,3860997
onnxruntime,small,fp32,80,863861
onnxruntime,small,fp32,81,846295
onnxruntime,small,fp32,82,840294
onnxruntime,small,fp32,83,3860388
onnxruntime,small,fp32,84,854691
onnxruntime,small,fp32,85,843715
onnxruntime,small,fp32,86,3843258
onnxruntime,small,fp32,87,846909
onnxruntime,small,fp32,88,860306
onnxruntime,small,fp32,89,859773
onnxruntime,small,fp32,90,3848341
onnxruntime,small,fp32,91,852286
onnxruntime,small,fp32,92,850346
onnxruntime,small,fp32,93,3864156
onnxruntime,small,fp32,94,862958
onnxruntime,small,fp32,95,851666
onnxruntime,small,fp32,96,840897
onnxruntime,small,fp32,97,3877531
onnxruntime,small,fp32,98,854475
onnxruntime,small,fp32,99,844007
onnxruntime,small,fp32,100,3850417
onnxruntime,small,fp32,101,843067
onnxruntime,small,fp32,102,837347
onnxruntime,small,fp32,103,843809
onnxruntime,small,fp32,104,3884785
onnxruntime,small,fp32,105,856651
onnxruntime,small,fp32,106,847381
onnxruntime,small,fp32,107,3859487
onnxruntime,small,fp32,108,865283
onnxruntime,small,fp32,109,850656
onnxruntime,small,fp32,110,843419
onnxruntime,small,fp32,111,3860290
onnxruntime,small,fp32,112,852886
onnxruntime,small,fp32,113,839037
onnxruntime,small,fp32,114,3846484
onnxruntime,small,fp32,115,846802
onnxruntime,small,fp32,116,836030
onnxruntime,small,fp32,117,847049
onnxruntime,small,fp32,118,3853617
onnxruntime,small,fp32,119,852241
onnxruntime,small,fp32,120,843453
onnxruntime,small,fp32,121,3851576
onnxruntime,small,fp32,122,845028
onnxruntime,small,fp32,123,831664
onnxruntime,small,fp32,124,833836
onnxruntime,small,fp32,125,3884351
onnxruntime,small,fp32,126,865660
onnxruntime,small,fp32,127,847470
onnxruntime,small,fp32,128,3853018
onnxruntime,small,fp32,129,863460
onnxruntime,small,fp32,130,845544
onnxruntime,small,fp32,131,841423
onnxruntime,small,fp32,132,3858878
onnxruntime,small,fp32,133,856778
onnxruntime,small,fp32,134,840348
onnxruntime,small,fp32,135,3848259
onnxruntime,small,fp32,136,862641
onnxruntime,small,fp32,137,870916
onnxruntime,small,fp32,138,846032
onnxruntime,small,fp32,139,3850566
onnxruntime,small,fp32,140,840644
onnxruntime,small,fp32,141,842467
onnxruntime,small,fp32,142,3846357
onnxruntime,small,fp32,143,850302
onnxruntime,small,fp32,144,837251
onnxruntime,small,fp32,145,844922
onnxruntime,small,fp32,146,3849434
onnxruntime,small,fp32,147,837838
onnxruntime,small,fp32,148,834595
onnxruntime,small,fp32,149,832028
onnxruntime,small,fp32,150,3844446
onnxruntime,small,fp32,151,853449
onnxruntime,small,fp32,152,851943
onnxruntime,small,fp32,153,3861802
onnxruntime,small,fp32,154,862727
onnxruntime,small,fp32,155,847314
onnxruntime,small,fp32,156,837126
onnxruntime,small,fp32,157,3876054
onnxruntime,small,fp32,158,858404
onnxruntime,small,fp32,159,849776
onnxruntime,small,fp32,160,3850405
onnxruntime,small,fp32,161,851808
onnxruntime,small,fp32,162,838828
onnxruntime,small,fp32,163,837324
onnxruntime,small,fp32,164,3872901
onnxruntime,small,fp32,165,862967
onnxruntime,small,fp32,166,855278
onnxruntime,small,fp32,167,3854408
onnxruntime,small,fp32,168,842643
onnxruntime,small,fp32,169,842833
onnxruntime,small,fp32,170,840049
onnxruntime,small,fp32,171,3853936
onnxruntime,small,fp32,172,845082
onnxruntime,small,fp32,173,847771
onnxruntime,small,fp32,174,3884363
onnxruntime,small,fp32,175,885317
onnxruntime,small,fp32,176,853294
onnxruntime,small,fp32,177,844596
onnxruntime,small,fp32,178,3847876
onnxruntime,small,fp32,179,841554
onnxruntime,small,fp32,180,849601
onnxruntime,small,fp32,181,3873594
onnxruntime,small,fp32,182,860868
onnxruntime,small,fp32,183,848759
onnxruntime,small,fp32,184,838187
onnxruntime,small,fp32,185,3850258
onnxruntime,small,fp32,186,841238
onnxruntime,small,fp32,187,840622
onnxruntime,small,fp32,188,3850505
onnxruntime,small,fp32,189,855995
onnxruntime,small,fp32,190,841023
onnxruntime,small,fp32,191,842617
onnxruntime,small,fp32,192,3843158
onnxruntime,small,fp32,193,843138
onnxruntime,small,fp32,194,859916
onnxruntime,small,fp32,195,3851038
onnxruntime,small,fp32,196,845744
onnxruntime,small,fp32,197,847017
onnxruntime,small,fp32,198,843434
onnxruntime,small,fp32,199,3876701
onnxruntime,small,fp32,200,860575
onnxruntime,small,fp32,201,840545
onnxruntime,small,fp32,202,3848583
onnxruntime,small,fp32,203,851884
onnxruntime,small,fp32,204,840136
onnxruntime,small,fp32,205,837130
onnxruntime,small,fp32,206,3862337
onnxruntime,small,fp32,207,854852
onnxruntime,small,fp32,208,847600
onnxruntime,small,fp32,209,3845967
onnxruntime,small,fp32,210,847874
onnxruntime,small,fp32,211,844142
onnxruntime,small,fp32,212,845140
onnxruntime,small,fp32,213,3881854
onnxruntime,small,fp32,214,865080
onnxruntime,small,fp32,215,845342
onnxruntime,small,fp32,216,3844254
onnxruntime,small,fp32,217,844516
onnxruntime,small,fp32,218,839851
onnxruntime,small,fp32,219,844384
onnxruntime,small,fp32,220,3850094
onnxruntime,small,fp32,221,840354
onnxruntime,small,fp32,222,836287
onnxruntime,small,fp32,223,837925
onnxruntime,small,fp32,224,3845249
onnxruntime,small,fp32,225,840462
onnxruntime,small,fp32,226,834804
onnxruntime,small,fp32,227,3878462
onnxruntime,small,fp32,228,870069
onnxruntime,small,fp32,229,861227
onnxruntime,small,fp32,230,838174
onnxruntime,small,fp32,231,3871766
onnxruntime,small,fp32,232,853873
onnxruntime,small,fp32,233,842354
onnxruntime,small,fp32,234,3852809
onnxruntime,small,fp32,235,861985
onnxruntime,small,fp32,236,843704
onnxruntime,small,fp32,237,836664
onnxruntime,small,fp32,238,3855663
onnxruntime,small,fp32,239,855893
onnxruntime,small,fp32,240,841696
onnxruntime,small,fp32,241,3844410
onnxruntime,small,fp32,242,837144
onnxruntime,small,fp32,243,835958
onnxruntime,small,fp32,244,842072
onnxruntime,small,fp32,245,3855152
onnxruntime,small,fp32,246,842094
onnxruntime,small,fp32,247,837172
onnxruntime,small,fp32,248,3848089
onnxruntime,small,fp32,249,843185
onnxruntime,small,fp32,250,832163
onnxruntime,small,fp32,251,835169
onnxruntime,small,fp32,252,3841249
onnxruntime,small,fp32,253,836103
onnxruntime,small,fp32,254,833899
onnxruntime,small,fp32,255,3851163
onnxruntime,small,fp32,256,865800
onnxruntime,small,fp32,257,847968
onnxruntime,small,fp32,258,854437
onnxruntime,small,fp32,259,3868381
onnxruntime,small,fp32,260,849534
onnxruntime,small,fp32,261,841169
onnxruntime,small,fp32,262,3843025
onnxruntime,small,fp32,263,862433
onnxruntime,small,fp32,264,841268
onnxruntime,small,fp32,265,839646
onnxruntime,small,fp32,266,3854866
onnxruntime,small,fp32,267,843036
onnxruntime,small,fp32,268,870231
onnxruntime,small,fp32,269,3848114
onnxruntime,small,fp32,270,852657
onnxruntime,small,fp32,271,844088
onnxruntime,small,fp32,272,838038
onnxruntime,small,fp32,273,3846859
onnxruntime,small,fp32,274,841993
onnxruntime,small,fp32,275,837838
onnxruntime,small,fp32,276,836866
onnxruntime,small,fp32,277,3845712
onnxruntime,small,fp32,278,840149
onnxruntime,small,fp32,279,838008
onnxruntime,small,fp32,280,3873097
onnxruntime,small,fp32,281,882045
onnxruntime,small,fp32,282,852356
onnxruntime,small,fp32,283,839187
onnxruntime,small,fp32,284,3867092
onnxruntime,small,fp32,285,854839
onnxruntime,small,fp32,286,840821
onnxruntime,small,fp32,287,3844889
onnxruntime,small,fp32,288,858841
onnxruntime,small,fp32,289,837992
onnxruntime,small,fp32,290,835395
onnxruntime,small,fp32,291,3857799
onnxruntime,small,fp32,292,856658
onnxruntime,small,fp32,293,842417
onnxruntime,small,fp32,294,3840229
onnxruntime,small,fp32,295,846303
onnxruntime,small,fp32,296,840345
onnxruntime,small,fp32,297,843387
onnxruntime,small,fp32,298,3847118
onnxruntime,small,fp32,299,838285
onnxruntime,small,fp32,300,836470
onnxruntime,small,fp32,301,3841724
onnxruntime,small,fp32,302,834937
onnxruntime,small,fp32,303,835643
onnxruntime,small,fp32,304,833543
onnxruntime,small,fp32,305,3845079
onnxruntime,small,fp32,306,847814
onnxruntime,small,fp32,307,845196
onnxruntime,small,fp32,308,3850348
onnxruntime,small,fp32,309,861826
onnxruntime,small,fp32,310,847360
onnxruntime,small,fp32,311,839087
onnxruntime,small,fp32,312,3873063
onnxruntime,small,fp32,313,870200
onnxruntime,small,fp32,314,848425
onnxruntime,small,fp32,315,3844403
onnxruntime,small,fp32,316,857327
onnxruntime,small,fp32,317,842089
onnxruntime,small,fp32,318,838562
onnxruntime,small,fp32,319,3846922
onnxruntime,small,fp32,320,861100
onnxruntime,small,fp32,321,859047
onnxruntime,small,fp32,322,849229
onnxruntime,small,fp32,323,3856140
onnxruntime,small,fp32,324,842051
onnxruntime,small,fp32,325,837266
onnxruntime,small,fp32,326,3847119
onnxruntime,small,fp32,327,838349
onnxruntime,small,fp32,328,832126
onnxruntime,small,fp32,329,831921
