# stage=pytorch_eager size=medium precision=fp32 warmup=50 measure=10000 core=3
stage,size,precision,iteration,nanoseconds
pytorch_eager,medium,fp32,0,11625584
pytorch_eager,medium,fp32,1,8659984
pytorch_eager,medium,fp32,2,11542167
pytorch_eager,medium,fp32,3,11547574
pytorch_eager,medium,fp32,4,11565769
pytorch_eager,medium,fp32,5,11546599
pytorch_eager,medium,fp32,6,11544739
pytorch_eager,medium,fp32,7,11535442
pytorch_eager,medium,fp32,8,8602059
pytorch_eager,medium,fp32,9,11633404
pytorch_eager,medium,fp32,10,11596194
pytorch_eager,medium,fp32,11,11570072
pytorch_eager,medium,fp32,12,11606696
pytorch_eager,medium,fp32,13,11630979
pytorch_eager,medium,fp32,14,11611331
pytorch_eager,medium,fp32,15,8582031
pytorch_eager,medium,fp32,16,11595421
pytorch_eager,medium,fp32,17,11577034
pytorch_eager,medium,fp32,18,11560009
pytorch_eager,medium,fp32,19,11720774
pytorch_eager,medium,fp32,20,11657416
pytorch_eager,medium,fp32,21,11667146
pytorch_eager,medium,fp32,22,11652350
pytorch_eager,medium,fp32,23,8571535
pytorch_eager,medium,fp32,24,11554483
pytorch_eager,medium,fp32,25,11549849
pytorch_eager,medium,fp32,26,11533956
pytorch_eager,medium,fp32,27,11530851
pytorch_eager,medium,fp32,28,11542931
pytorch_eager,medium,fp32,29,11568580
pytorch_eager,medium,fp32,30,8658204
pytorch_eager,medium,fp32,31,11595913
pytorch_eager,medium,fp32,32,11611993
pytorch_eager,medium,fp32,33,11580822
pytorch_eager,medium,fp32,34,11609780
pytorch_eager,medium,fp32,35,11568468
pytorch_eager,medium,fp32,36,11554996
pytorch_eager,medium,fp32,37,8525529
pytorch_eager,medium,fp32,38,11567160
pytorch_eager,medium,fp32,39,11533935
pytorch_eager,medium,fp32,40,11583171
pytorch_eager,medium,fp32,41,11633646
pytorch_eager,medium,fp32,42,11565876
pytorch_eager,medium,fp32,43,11541730
pytorch_eager,medium,fp32,44,8519527
pytorch_eager,medium,fp32,45,11555936
pytorch_eager,medium,fp32,46,11541660
pytorch_eager,medium,fp32,47,11527731
pytorch_eager,medium,fp32,48,11538136
pytorch_eager,medium,fp32,49,11568924
pytorch_eager,medium,fp32,50,11545068
pytorch_eager,medium,fp32,51,8539598
pytorch_eager,medium,fp32,52,11533850
pytorch_eager,medium,fp32,53,11529161
pytorch_eager,medium,fp32,54,11543590
pytorch_eager,medium,fp32,55,11536359
pytorch_eager,medium,fp32,56,11539809
pytorch_eager,medium,fp32,57,8519606
pytorch_eager,medium,fp32,58,11575773
pytorch_eager,medium,fp32,59,11538843
pytorch_eager,medium,fp32,60,11540641
pytorch_eager,medium,fp32,61,11564994
pytorch_eager,medium,fp32,62,11695873
pytorch_eager,medium,fp32,63,11672224
pytorch_eager,medium,fp32,64,11587550
pytorch_eager,medium,fp32,65,8557951
pytorch_eager,medium,fp32,66,11547678
pytorch_eager,medium,fp32,67,11580385
pytorch_eager,medium,fp32,68,11552655
pytorch_eager,medium,fp32,69,11548155
pytorch_eager,medium,fp32,70,11550123
pytorch_eager,medium,fp32,71,11536440
pytorch_eager,medium,fp32,72,8572899
pytorch_eager,medium,fp32,73,11649632
pytorch_eager,medium,fp32,74,11581659
pytorch_eager,medium,fp32,75,11532564
pytorch_eager,medium,fp32,76,11525718
pytorch_eager,medium,fp32,77,11562771
pytorch_eager,medium,fp32,78,11610062
pytorch_eager,medium,fp32,79,8559123
pytorch_eager,medium,fp32,80,11531996
pytorch_eager,medium,fp32,81,11534889
pytorch_eager,medium,fp32,82,11544587
pytorch_eager,medium,fp32,83,11563000
pytorch_eager,medium,fp32,84,11661617
pytorch_eager,medium,fp32,85,11598264
pytorch_eager,medium,fp32,86,8547833
pytorch_eager,medium,fp32,87,11535346
pytorch_eager,medium,fp32,88,11543248
pytorch_eager,medium,fp32,89,11532955
pytorch_eager,medium,fp32,90,11536344
pytorch_eager,medium,fp32,91,11539249
pytorch_eager,medium,fp32,92,8536951
pytorch_eager,medium,fp32,93,11544602
pytorch_eager,medium,fp32,94,11580026
pytorch_eager,medium,fp32,95,11589309
pytorch_eager,medium,fp32,96,11559436
pytorch_eager,medium,fp32,97,11540103
pytorch_eager,medium,fp32,98,11545104
pytorch_eager,medium,fp32,99,8527207
pytorch_eager,medium,fp32,100,11536045
pytorch_eager,medium,fp32,101,11527881
pytorch_eager,medium,fp32,102,11567438
pytorch_eager,medium,fp32,103,11570495
pytorch_eager,medium,fp32,104,11543322
pytorch_eager,medium,fp32,105,11623883
pytorch_eager,medium,fp32,106,8568003
pytorch_eager,medium,fp32,107,11602945
pytorch_eager,medium,fp32,108,11557791
pytorch_eager,medium,fp32,109,11658644
pytorch_eager,medium,fp32,110,11581266
pytorch_eager,medium,fp32,111,11558641
pytorch_eager,medium,fp32,112,11580595
pytorch_eager,medium,fp32,113,8547594
pytorch_eager,medium,fp32,114,11561781
pytorch_eager,medium,fp32,115,11530076
pytorch_eager,medium,fp32,116,11551777
pytorch_eager,medium,fp32,117,11531705
pytorch_eager,medium,fp32,118,11535108
pytorch_eager,medium,fp32,119,11537735
pytorch_eager,medium,fp32,120,8532859
pytorch_eager,medium,fp32,121,11540639
pytorch_eager,medium,fp32,122,11606936
pytorch_eager,medium,fp32,123,11597600
pytorch_eager,medium,fp32,124,11567702
pytorch_eager,medium,fp32,125,11541871
pytorch_eager,medium,fp32,126,8525397
pytorch_eager,medium,fp32,127,11658145
pytorch_eager,medium,fp32,128,11586097
pytorch_eager,medium,fp32,129,11527817
pytorch_eager,medium,fp32,130,11563071
pytorch_eager,medium,fp32,131,11548838
pytorch_eager,medium,fp32,132,11563723
pytorch_eager,medium,fp32,133,8544612
pytorch_eager,medium,fp32,134,11546133
pytorch_eager,medium,fp32,135,11565030
pytorch_eager,medium,fp32,136,11550712
pytorch_eager,medium,fp32,137,11583205
pytorch_eager,medium,fp32,138,11622017
pytorch_eager,medium,fp32,139,11562778
pytorch_eager,medium,fp32,140,8520848
pytorch_eager,medium,fp32,141,11537921
pytorch_eager,medium,fp32,142,11544031
pytorch_eager,medium,fp32,143,11547425
pytorch_eager,medium,fp32,144,11544831
pytorch_eager,medium,fp32,145,11537262
pytorch_eager,medium,fp32,146,11541373
pytorch_eager,medium,fp32,147,8538734
pytorch_eager,medium,fp32,148,11592896
pytorch_eager,medium,fp32,149,11579753
pytorch_eager,medium,fp32,150,11563893
pytorch_eager,medium,fp32,151,11549196
pytorch_eager,medium,fp32,152,11543151
pytorch_eager,medium,fp32,153,11532363
pytorch_eager,medium,fp32,154,8526550
pytorch_eager,medium,fp32,155,11535410
pytorch_eager,medium,fp32,156,11542591
pytorch_eager,medium,fp32,157,11563681
pytorch_eager,medium,fp32,158,11560687
pytorch_eager,medium,fp32,159,11611731
pytorch_eager,medium,fp32,160,11610945
pytorch_eager,medium,fp32,161,8606179
pytorch_eager,medium,fp32,162,11558974
pytorch_eager,medium,fp32,163,11554708
pytorch_eager,medium,fp32,164,11550118
pytorch_eager,medium,fp32,165,11558152
pytorch_eager,medium,fp32,166,11552143
pytorch_eager,medium,fp32,167,8542029
pytorch_eager,medium,fp32,168,11619270
pytorch_eager,medium,fp32,169,11557916
pytorch_eager,medium,fp32,170,11623237
pytorch_eager,medium,fp32,171,11592764
pytorch_eager,medium,fp32,172,11553954
pytorch_eager,medium,fp32,173,11537410
pytorch_eager,medium,fp32,174,11561961
pytorch_eager,medium,fp32,175,8543739
pytorch_eager,medium,fp32,176,11553331
pytorch_eager,medium,fp32,177,11534353
pytorch_eager,medium,fp32,178,11536235
pytorch_eager,medium,fp32,179,11533699
pytorch_eager,medium,fp32,180,11550124
pytorch_eager,medium,fp32,181,8558872
pytorch_eager,medium,fp32,182,11538925
pytorch_eager,medium,fp32,183,11537445
pytorch_eager,medium,fp32,184,11524841
pytorch_eager,medium,fp32,185,11533582
pytorch_eager,medium,fp32,186,11525827
pytorch_eager,medium,fp32,187,11525666
pytorch_eager,medium,fp32,188,8548911
pytorch_eager,medium,fp32,189,11537096
pytorch_eager,medium,fp32,190,11533449
pytorch_eager,medium,fp32,191,11567229
pytorch_eager,medium,fp32,192,11654978
pytorch_eager,medium,fp32,193,11598221
pytorch_eager,medium,fp32,194,11576630
pytorch_eager,medium,fp32,195,8529661
pytorch_eager,medium,fp32,196,11531638
pytorch_eager,medium,fp32,197,11543917
pytorch_eager,medium,fp32,198,11532219
pytorch_eager,medium,fp32,199,11598846
pytorch_eager,medium,fp32,200,11602948
pytorch_eager,medium,fp32,201,8555492
pytorch_eager,medium,fp32,202,11682142
pytorch_eager,medium,fp32,203,11644204
pytorch_eager,medium,fp32,204,11580943
pytorch_eager,medium,fp32,205,11544985
pytorch_eager,medium,fp32,206,11548316
pytorch_eager,medium,fp32,207,11526989
pytorch_eager,medium,fp32,208,11550944
pytorch_eager,medium,fp32,209,8534854
pytorch_eager,medium,fp32,210,11532044
pytorch_eager,medium,fp32,211,11541604
pytorch_eager,medium,fp32,212,11551343
pytorch_eager,medium,fp32,213,11628389
pytorch_eager,medium,fp32,214,11641481
pytorch_eager,medium,fp32,215,11569052
pytorch_eager,medium,fp32,216,8530446
pytorch_eager,medium,fp32,217,11527209
pytorch_eager,medium,fp32,218,11547362
pytorch_eager,medium,fp32,219,11534920
pytorch_eager,medium,fp32,220,11549438
pytorch_eager,medium,fp32,221,11546464
pytorch_eager,medium,fp32,222,8543801
pytorch_eager,medium,fp32,223,11559309
pytorch_eager,medium,fp32,224,11633967
pytorch_eager,medium,fp32,225,11596863
pytorch_eager,medium,fp32,226,11557024
pytorch_eager,medium,fp32,227,11558865
pytorch_eager,medium,fp32,228,11537291
pytorch_eager,medium,fp32,229,8531943
pytorch_eager,medium,fp32,230,11551049
pytorch_eager,medium,fp32,231,11534409
pytorch_eager,medium,fp32,232,11537082
pytorch_eager,medium,fp32,233,11537749
pytorch_eager,medium,fp32,234,11553398
pytorch_eager,medium,fp32,235,11659650
pytorch_eager,medium,fp32,236,8569979
pytorch_eager,medium,fp32,237,11544801
pytorch_eager,medium,fp32,238,11613312
pytorch_eager,medium,fp32,239,11674252
pytorch_eager,medium,fp32,240,11594293
pytorch_eager,medium,fp32,241,11561101
pytorch_eager,medium,fp32,242,11642601
pytorch_eager,medium,fp32,243,11623465
pytorch_eager,medium,fp32,244,8563595
pytorch_eager,medium,fp32,245,11541772
pytorch_eager,medium,fp32,246,11647358
pytorch_eager,medium,fp32,247,11600709
pytorch_eager,medium,fp32,248,11551363
pytorch_eager,medium,fp32,249,11557718
pytorch_eager,medium,fp32,250,11673409
pytorch_eager,medium,fp32,251,8570648
pytorch_eager,medium,fp32,252,11549687
pytorch_eager,medium,fp32,253,11576182
pytorch_eager,medium,fp32,254,11585660
pytorch_eager,medium,fp32,255,11567827
pytorch_eager,medium,fp32,256,11563460
pytorch_eager,medium,fp32,257,11730349
pytorch_eager,medium,fp32,258,11698290
pytorch_eager,medium,fp32,259,8591346
pytorch_eager,medium,fp32,260,11542645
pytorch_eager,medium,fp32,261,11654482
pytorch_eager,medium,fp32,262,11617670
pytorch_eager,medium,fp32,263,11568494
pytorch_eager,medium,fp32,264,11587895
pytorch_eager,medium,fp32,265,11668367
pytorch_eager,medium,fp32,266,8594643
pytorch_eager,medium,fp32,267,11614766
pytorch_eager,medium,fp32,268,11616542
pytorch_eager,medium,fp32,269,11609486
pytorch_eager,medium,fp32,270,11568974
pytorch_eager,medium,fp32,271,11557491
pytorch_eager,medium,fp32,272,11597933
pytorch_eager,medium,fp32,273,11606211
pytorch_eager,medium,fp32,274,8559075
pytorch_eager,medium,fp32,275,11546832
pytorch_eager,medium,fp32,276,11593555
pytorch_eager,medium,fp32,277,11636425
pytorch_eager,medium,fp32,278,12009282
pytorch_eager,medium,fp32,279,11867470
pytorch_eager,medium,fp32,280,11820130
pytorch_eager,medium,fp32,281,11644215
pytorch_eager,medium,fp32,282,11624544
pytorch_eager,medium,fp32,283,11641505
pytorch_eager,medium,fp32,284,8586225
pytorch_eager,medium,fp32,285,11570863
pytorch_eager,medium,fp32,286,11529753
pytorch_eager,medium,fp32,287,11562494
pytorch_eager,medium,fp32,288,11665545
pytorch_eager,medium,fp32,289,11699142
pytorch_eager,medium,fp32,290,11666757
pytorch_eager,medium,fp32,291,8593112
pytorch_eager,medium,fp32,292,11567316
pytorch_eager,medium,fp32,293,11537262
pytorch_eager,medium,fp32,294,11545453
pytorch_eager,medium,fp32,295,11537012
pytorch_eager,medium,fp32,296,11550259
pytorch_eager,medium,fp32,297,11537003
pytorch_eager,medium,fp32,298,8547718
pytorch_eager,medium,fp32,299,11622606
pytorch_eager,medium,fp32,300,11617369
pytorch_eager,medium,fp32,301,11588117
pytorch_eager,medium,fp32,302,11585723
pytorch_eager,medium,fp32,303,11614115
pytorch_eager,medium,fp32,304,11573164
pytorch_eager,medium,fp32,305,8564185
pytorch_eager,medium,fp32,306,11555949
pytorch_eager,medium,fp32,307,11563260
pytorch_eager,medium,fp32,308,11537989
pytorch_eager,medium,fp32,309,11532205
pytorch_eager,medium,fp32,310,11546349
pytorch_eager,medium,fp32,311,11519607
pytorch_eager,medium,fp32,312,8568746
pytorch_eager,medium,fp32,313,11557377
pytorch_eager,medium,fp32,314,11554007
pytorch_eager,medium,fp32,315,11562129
pytorch_eager,medium,fp32,316,11537768
pytorch_eager,medium,fp32,317,11541241
pytorch_eager,medium,fp32,318,11541644
pytorch_eager,medium,fp32,319,8551018
pytorch_eager,medium,fp32,320,11590541
pytorch_eager,medium,fp32,321,11651714
pytorch_eager,medium,fp32,322,11574662
pytorch_eager,medium,fp32,323,11557681
pytorch_eager,medium,fp32,324,11542977
pytorch_eager,medium,fp32,325,11544002
pytorch_eager,medium,fp32,326,8551418
pytorch_eager,medium,fp32,327,11543222
pytorch_eager,medium,fp32,328,11536186
pytorch_eager,medium,fp32,329,11534245
pytorch_eager,medium,fp32,330,11533319
pytorch_eager,medium,fp32,331,11657123
pytorch_eager,medium,fp32,332,11631050
pytorch_eager,medium,fp32,333,8579946
pytorch_eager,medium,fp32,334,11551231
pytorch_eager,medium,fp32,335,11551030
pytorch_eager,medium,fp32,336,11533754
pytorch_eager,medium,fp32,337,11550876
pytorch_eager,medium,fp32,338,11550679
pytorch_eager,medium,fp32,339,8531413
pytorch_eager,medium,fp32,340,11566271
pytorch_eager,medium,fp32,341,11548954
pytorch_eager,medium,fp32,342,11653360
pytorch_eager,medium,fp32,343,11580112
pytorch_eager,medium,fp32,344,11543308
pytorch_eager,medium,fp32,345,11552121
pytorch_eager,medium,fp32,346,8538865
pytorch_eager,medium,fp32,347,11625742
pytorch_eager,medium,fp32,348,11555870
pytorch_eager,medium,fp32,349,11542570
pytorch_eager,medium,fp32,350,11532291
pytorch_eager,medium,fp32,351,11553331
pytorch_eager,medium,fp32,352,11560564
pytorch_eager,medium,fp32,353,8633539
pytorch_eager,medium,fp32,354,11609999
pytorch_eager,medium,fp32,355,11549458
pytorch_eager,medium,fp32,356,11574094
pytorch_eager,medium,fp32,357,11552211
pytorch_eager,medium,fp32,358,11536719
pytorch_eager,medium,fp32,359,11562595
pytorch_eager,medium,fp32,360,8538645
pytorch_eager,medium,fp32,361,11547574
pytorch_eager,medium,fp32,362,11552471
pytorch_eager,medium,fp32,363,11594093
pytorch_eager,medium,fp32,364,11642449
pytorch_eager,medium,fp32,365,11568939
pytorch_eager,medium,fp32,366,11553106
pytorch_eager,medium,fp32,367,8530937
pytorch_eager,medium,fp32,368,11538291
pytorch_eager,medium,fp32,369,11529085
pytorch_eager,medium,fp32,370,11542012
pytorch_eager,medium,fp32,371,11539580
pytorch_eager,medium,fp32,372,11640408
pytorch_eager,medium,fp32,373,11558744
pytorch_eager,medium,fp32,374,8527915
pytorch_eager,medium,fp32,375,11543067
pytorch_eager,medium,fp32,376,11542720
pytorch_eager,medium,fp32,377,11574134
pytorch_eager,medium,fp32,378,11605546
pytorch_eager,medium,fp32,379,11622059
pytorch_eager,medium,fp32,380,11620253
pytorch_eager,medium,fp32,381,8557955
pytorch_eager,medium,fp32,382,11558946
pytorch_eager,medium,fp32,383,11526237
pytorch_eager,medium,fp32,384,11555102
pytorch_eager,medium,fp32,385,11639581
pytorch_eager,medium,fp32,386,11605874
pytorch_eager,medium,fp32,387,11555771
pytorch_eager,medium,fp32,388,8537464
pytorch_eager,medium,fp32,389,11540919
pytorch_eager,medium,fp32,390,11521807
pytorch_eager,medium,fp32,391,11573050
pytorch_eager,medium,fp32,392,11611815
pytorch_eager,medium,fp32,393,11574399
pytorch_eager,medium,fp32,394,11542317
pytorch_eager,medium,fp32,395,8556777
pytorch_eager,medium,fp32,396,11648707
pytorch_eager,medium,fp32,397,11574831
pytorch_eager,medium,fp32,398,11549276
pytorch_eager,medium,fp32,399,11544435
pytorch_eager,medium,fp32,400,11557013
pytorch_eager,medium,fp32,401,11541333
pytorch_eager,medium,fp32,402,8535684
pytorch_eager,medium,fp32,403,11528972
pytorch_eager,medium,fp32,404,11540001
pytorch_eager,medium,fp32,405,11540120
pytorch_eager,medium,fp32,406,11546475
pytorch_eager,medium,fp32,407,11650214
pytorch_eager,medium,fp32,408,11573739
pytorch_eager,medium,fp32,409,8545408
pytorch_eager,medium,fp32,410,11547864
pytorch_eager,medium,fp32,411,11543787
pytorch_eager,medium,fp32,412,11542290
pytorch_eager,medium,fp32,413,11530662
pytorch_eager,medium,fp32,414,11547746
pytorch_eager,medium,fp32,415,8527838
pytorch_eager,medium,fp32,416,11538377
pytorch_eager,medium,fp32,417,11567265
pytorch_eager,medium,fp32,418,11627995
pytorch_eager,medium,fp32,419,11557169
pytorch_eager,medium,fp32,420,11526917
pytorch_eager,medium,fp32,421,11545121
pytorch_eager,medium,fp32,422,8533838
pytorch_eager,medium,fp32,423,11569768
pytorch_eager,medium,fp32,424,11548832
pytorch_eager,medium,fp32,425,11560398
pytorch_eager,medium,fp32,426,11535564
pytorch_eager,medium,fp32,427,11542755
pytorch_eager,medium,fp32,428,11670772
pytorch_eager,medium,fp32,429,8624921
pytorch_eager,medium,fp32,430,11580764
pytorch_eager,medium,fp32,431,11531062
pytorch_eager,medium,fp32,432,11533902
pytorch_eager,medium,fp32,433,11523320
pytorch_eager,medium,fp32,434,11534129
pytorch_eager,medium,fp32,435,11542868
pytorch_eager,medium,fp32,436,8559490
pytorch_eager,medium,fp32,437,11632601
pytorch_eager,medium,fp32,438,11564173
pytorch_eager,medium,fp32,439,11551309
pytorch_eager,medium,fp32,440,11539268
pytorch_eager,medium,fp32,441,11543215
pytorch_eager,medium,fp32,442,11541571
pytorch_eager,medium,fp32,443,8530594
pytorch_eager,medium,fp32,444,11572864
pytorch_eager,medium,fp32,445,11533456
pytorch_eager,medium,fp32,446,11540239
pytorch_eager,medium,fp32,447,11539434
pytorch_eager,medium,fp32,448,11555179
pytorch_eager,medium,fp32,449,8537253
pytorch_eager,medium,fp32,450,11680909
pytorch_eager,medium,fp32,451,11602673
pytorch_eager,medium,fp32,452,11539385
pytorch_eager,medium,fp32,453,11546419
pytorch_eager,medium,fp32,454,11530831
pytorch_eager,medium,fp32,455,11551928
pytorch_eager,medium,fp32,456,8541944
pytorch_eager,medium,fp32,457,11541588
pytorch_eager,medium,fp32,458,11543136
pytorch_eager,medium,fp32,459,11536124
pytorch_eager,medium,fp32,460,11568206
pytorch_eager,medium,fp32,461,11651192
pytorch_eager,medium,fp32,462,11641558
