# stage=pytorch_eager size=small precision=fp32 warmup=50 measure=10000 core=3
stage,size,precision,iteration,nanoseconds
pytorch_eager,small,fp32,0,4214358
pytorch_eager,small,fp32,1,1166353
pytorch_eager,small,fp32,2,1158369
pytorch_eager,small,fp32,3,4172830
pytorch_eager,small,fp32,4,1160813
pytorch_eager,small,fp32,5,4178232
pytorch_eager,small,fp32,6,1176954
pytorch_eager,small,fp32,7,1186746
pytorch_eager,small,fp32,8,4201819
pytorch_eager,small,fp32,9,1182167
pytorch_eager,small,fp32,10,4178475
pytorch_eager,small,fp32,11,1177146
pytorch_eager,small,fp32,12,1163482
pytorch_eager,small,fp32,13,4195588
pytorch_eager,small,fp32,14,1165259
pytorch_eager,small,fp32,15,4174671
pytorch_eager,small,fp32,16,1173117
pytorch_eager,small,fp32,17,1154450
pytorch_eager,small,fp32,18,4164375
pytorch_eager,small,fp32,19,1164752
pytorch_eager,small,fp32,20,1165189
pytorch_eager,small,fp32,21,4180401
pytorch_eager,small,fp32,22,1181803
pytorch_eager,small,fp32,23,4208438
pytorch_eager,small,fp32,24,1196885
pytorch_eager,small,fp32,25,1187049
pytorch_eager,small,fp32,26,4216710
pytorch_eager,small,fp32,27,1199995
pytorch_eager,small,fp32,28,4228080
pytorch_eager,small,fp32,29,1172357
pytorch_eager,small,fp32,30,1155348
pytorch_eager,small,fp32,31,4213457
pytorch_eager,small,fp32,32,1174194
pytorch_eager,small,fp32,33,4231168
pytorch_eager,small,fp32,34,1163632
pytorch_eager,small,fp32,35,1174977
pytorch_eager,small,fp32,36,4175854
pytorch_eager,small,fp32,37,1155901
pytorch_eager,small,fp32,38,4162914
pytorch_eager,small,fp32,39,1147785
pytorch_eager,small,fp32,40,1153781
pytorch_eager,small,fp32,41,4201010
pytorch_eager,small,fp32,42,1167452
pytorch_eager,small,fp32,43,4168065
pytorch_eager,small,fp32,44,1165010
pytorch_eager,small,fp32,45,1186471
pytorch_eager,small,fp32,46,4237430
pytorch_eager,small,fp32,47,1185485
pytorch_eager,small,fp32,48,4206447
pytorch_eager,small,fp32,49,1222444
pytorch_eager,small,fp32,50,1161817
pytorch_eager,small,fp32,51,4214589
pytorch_eager,small,fp32,52,1167084
pytorch_eager,small,fp32,53,4193422
pytorch_eager,small,fp32,54,1194373
pytorch_eager,small,fp32,55,1157320
pytorch_eager,small,fp32,56,4179882
pytorch_eager,small,fp32,57,1160820
pytorch_eager,small,fp32,58,1153815
pytorch_eager,small,fp32,59,4239326
pytorch_eager,small,fp32,60,1196036
pytorch_eager,small,fp32,61,4183990
pytorch_eager,small,fp32,62,1179896
pytorch_eager,small,fp32,63,1169170
pytorch_eager,small,fp32,64,4228041
pytorch_eager,small,fp32,65,1178548
pytorch_eager,small,fp32,66,4264493
pytorch_eager,small,fp32,67,1190505
pytorch_eager,small,fp32,68,1168508
pytorch_eager,small,fp32,69,4207517
pytorch_eager,small,fp32,70,1180491
pytorch_eager,small,fp32,71,4232230
pytorch_eager,small,fp32,72,1167511
pytorch_eager,small,fp32,73,1166454
pytorch_eager,small,fp32,74,4177233
pytorch_eager,small,fp32,75,1162092
pytorch_eager,small,fp32,76,4192058
pytorch_eager,small,fp32,77,1176567
pytorch_eager,small,fp32,78,1164481
pytorch_eager,small,fp32,79,4220222
pytorch_eager,small,fp32,80,1187698
pytorch_eager,small,fp32,81,4229738
pytorch_eager,small,fp32,82,1166362
pytorch_eager,small,fp32,83,1184497
pytorch_eager,small,fp32,84,4245501
pytorch_eager,small,fp32,85,1186817
pytorch_eager,small,fp32,86,4194680
pytorch_eager,small,fp32,87,1182905
pytorch_eager,small,fp32,88,1163420
pytorch_eager,small,fp32,89,4217036
pytorch_eager,small,fp32,90,1170847
pytorch_eager,small,fp32,91,4175857
pytorch_eager,small,fp32,92,1171411
pytorch_eager,small,fp32,93,1150623
pytorch_eager,small,fp32,94,4163894
pytorch_eager,small,fp32,95,1157705
pytorch_eager,small,fp32,96,4165007
pytorch_eager,small,fp32,97,1191405
pytorch_eager,small,fp32,98,1169190
pytorch_eager,small,fp32,99,4181965
pytorch_eager,small,fp32,100,1185204
pytorch_eager,small,fp32,101,4200191
pytorch_eager,small,fp32,102,1206459
pytorch_eager,small,fp32,103,1170844
pytorch_eager,small,fp32,104,4227319
pytorch_eager,small,fp32,105,1178695
pytorch_eager,small,fp32,106,4188311
pytorch_eager,small,fp32,107,1203318
pytorch_eager,small,fp32,108,1163927
pytorch_eager,small,fp32,109,4221621
pytorch_eager,small,fp32,110,1181875
pytorch_eager,small,fp32,111,4172250
pytorch_eager,small,fp32,112,1217500
pytorch_eager,small,fp32,113,1151040
pytorch_eager,small,fp32,114,4186221
pytorch_eager,small,fp32,115,1188845
pytorch_eager,small,fp32,116,1176005
pytorch_eager,small,fp32,117,4169315
pytorch_eager,small,fp32,118,1177458
pytorch_eager,small,fp32,119,4222770
