# stage=stage1 size=medium precision=fp32 warmup=100 measure=100000 core=3
# isolated_cpus=3 no_turbo=1 perf_paranoid=1
stage,size,precision,iteration,nanoseconds
stage1,medium,fp32,0,85676324
stage1,medium,fp32,1,85876041
stage1,medium,fp32,2,85887987
stage1,medium,fp32,3,85902199
stage1,medium,fp32,4,85814058
stage1,medium,fp32,5,85727453
stage1,medium,fp32,6,85841379
stage1,medium,fp32,7,85810402
stage1,medium,fp32,8,85916716
stage1,medium,fp32,9,85721850
stage1,medium,fp32,10,85679461
stage1,medium,fp32,11,85670347
stage1,medium,fp32,12,85756899
stage1,medium,fp32,13,85799437
stage1,medium,fp32,14,85732177
stage1,medium,fp32,15,85846258
stage1,medium,fp32,16,85851179
stage1,medium,fp32,17,85712649
stage1,medium,fp32,18,85840586
stage1,medium,fp32,19,85849620
stage1,medium,fp32,20,85694031
stage1,medium,fp32,21,85704238
stage1,medium,fp32,22,85720691
stage1,medium,fp32,23,85816906
stage1,medium,fp32,24,85869091
stage1,medium,fp32,25,85916440
stage1,medium,fp32,26,85821554
stage1,medium,fp32,27,85645099
stage1,medium,fp32,28,85663143
stage1,medium,fp32,29,85736521
stage1,medium,fp32,30,85892604
stage1,medium,fp32,31,85805638
stage1,medium,fp32,32,85851013
stage1,medium,fp32,33,85770286
stage1,medium,fp32,34,85778346
stage1,medium,fp32,35,85829463
stage1,medium,fp32,36,85839537
stage1,medium,fp32,37,85849826
stage1,medium,fp32,38,85800596
stage1,medium,fp32,39,85625135
stage1,medium,fp32,40,85662699
stage1,medium,fp32,41,85704268
stage1,medium,fp32,42,85724320
stage1,medium,fp32,43,85651669
stage1,medium,fp32,44,85744955
stage1,medium,fp32,45,85767116
stage1,medium,fp32,46,85793207
stage1,medium,fp32,47,85943678
stage1,medium,fp32,48,85821938
stage1,medium,fp32,49,85922144
stage1,medium,fp32,50,85821844
stage1,medium,fp32,51,85643905
stage1,medium,fp32,52,85720109
stage1,medium,fp32,53,85810145
stage1,medium,fp32,54,85791948
stage1,medium,fp32,55,85786520
stage1,medium,fp32,56,85789430
stage1,medium,fp32,57,85725074
stage1,medium,fp32,58,85744608
stage1,medium,fp32,59,85782566
stage1,medium,fp32,60,85833225
stage1,medium,fp32,61,85631566
stage1,medium,fp32,62,85690634
stage1,medium,fp32,63,85666694
stage1,medium,fp32,64,85676461
stage1,medium,fp32,65,85813507
stage1,medium,fp32,66,85848784
stage1,medium,fp32,67,85753140
stage1,medium,fp32,68,85935445
stage1,medium,fp32,69,85787347
stage1,medium,fp32,70,85802293
stage1,medium,fp32,71,85841581
stage1,medium,fp32,72,85754358
stage1,medium,fp32,73,85678975
stage1,medium,fp32,74,85805442
stage1,medium,fp32,75,85707923
stage1,medium,fp32,76,85862375
stage1,medium,fp32,77,85794418
stage1,medium,fp32,78,85816615
stage1,medium,fp32,79,85917693
stage1,medium,fp32,80,85830228
stage1,medium,fp32,81,85733857
stage1,medium,fp32,82,85648235
stage1,medium,fp32,83,85933652
stage1,medium,fp32,84,85892796
stage1,medium,fp32,85,85885432
stage1,medium,fp32,86,85920687
stage1,medium,fp32,87,85762727
stage1,medium,fp32,88,85795426
stage1,medium,fp32,89,85813187
stage1,medium,fp32,90,85748816
stage1,medium,fp32,91,85755939
stage1,medium,fp32,92,85815703
stage1,medium,fp32,93,85906763
stage1,medium,fp32,94,85880949
stage1,medium,fp32,95,85861138
stage1,medium,fp32,96,85830217
stage1,medium,fp32,97,85712287
stage1,medium,fp32,98,85679858
stage1,medium,fp32,99,85918521
stage1,medium,fp32,100,85623543
stage1,medium,fp32,101,85902041
stage1,medium,fp32,102,85890129
stage1,medium,fp32,103,85868173
stage1,medium,fp32,104,85877509
stage1,medium,fp32,105,85774239
stage1,medium,fp32,106,85857715
stage1,medium,fp32,107,85831451
stage1,medium,fp32,108,85900953
stage1,medium,fp32,109,85860327
stage1,medium,fp32,110,85796922
stage1,medium,fp32,111,85773790
stage1,medium,fp32,112,85847992
stage1,medium,fp32,113,85833081
stage1,medium,fp32,114,85779900
stage1,medium,fp32,115,85759340
stage1,medium,fp32,116,85761862
stage1,medium,fp32,117,85859900
