# stage=stage2 size=small precision=fp32 warmup=100 measure=100000 core=3
# isolated_cpus=3 no_turbo=1 perf_paranoid=1
stage,size,precision,iteration,nanoseconds
stage2,small,fp32,0,12692603
stage2,small,fp32,1,12678788
stage2,small,fp32,2,12687309
stage2,small,fp32,3,12680906
stage2,small,fp32,4,12684086
stage2,small,fp32,5,12706882
stage2,small,fp32,6,12691194
stage2,small,fp32,7,12706518
stage2,small,fp32,8,12708808
stage2,small,fp32,9,12683126
stage2,small,fp32,10,12676461
stage2,small,fp32,11,12675363
stage2,small,fp32,12,12674298
stage2,small,fp32,13,12687044
stage2,small,fp32,14,12690072
stage2,small,fp32,15,12694147
stage2,small,fp32,16,12692402
stage2,small,fp32,17,12684102
stage2,small,fp32,18,12687718
stage2,small,fp32,19,12690396
stage2,small,fp32,20,12689739
stage2,small,fp32,21,12690150
stage2,small,fp32,22,12682487
stage2,small,fp32,23,12671616
stage2,small,fp32,24,12680158
stage2,small,fp32,25,12693740
stage2,small,fp32,26,12679229
stage2,small,fp32,27,12685789
stage2,small,fp32,28,12688200
stage2,small,fp32,29,12688328
stage2,small,fp32,30,12693881
stage2,small,fp32,31,12681779
stage2,small,fp32,32,12684502
stage2,small,fp32,33,12681037
stage2,small,fp32,34,12677051
stage2,small,fp32,35,12681327
stage2,small,fp32,36,12690048
stage2,small,fp32,37,12683085
stage2,small,fp32,38,12683763
stage2,small,fp32,39,12679892
stage2,small,fp32,40,12684731
stage2,small,fp32,41,12681333
stage2,small,fp32,42,12685454
stage2,small,fp32,43,12679374
stage2,small,fp32,44,12681217
stage2,small,fp32,45,12682478
stage2,small,fp32,46,12684140
stage2,small,fp32,47,12689169
stage2,small,fp32,48,12686584
stage2,small,fp32,49,12680351
stage2,small,fp32,50,12680039
stage2,small,fp32,51,12683870
stage2,small,fp32,52,12678811
stage2,small,fp32,53,12688694
stage2,small,fp32,54,12693055
stage2,small,fp32,55,12683964
stage2,small,fp32,56,12688070
stage2,small,fp32,57,12692993
stage2,small,fp32,58,12690073
stage2,small,fp32,59,12695575
stage2,small,fp32,60,12693950
stage2,small,fp32,61,12694962
stage2,small,fp32,62,12693090
stage2,small,fp32,63,12675335
stage2,small,fp32,64,12680864
stage2,small,fp32,65,12670707
stage2,small,fp32,66,12665632
stage2,small,fp32,67,12667916
stage2,small,fp32,68,12675880
stage2,small,fp32,69,12670693
stage2,small,fp32,70,12679253
stage2,small,fp32,71,12667946
stage2,small,fp32,72,12675803
stage2,small,fp32,73,12670321
stage2,small,fp32,74,12660791
stage2,small,fp32,75,12675733
stage2,small,fp32,76,12661365
stage2,small,fp32,77,12662010
stage2,small,fp32,78,12663439
stage2,small,fp32,79,12667221
stage2,small,fp32,80,12661576
stage2,small,fp32,81,12665543
stage2,small,fp32,82,12671300
stage2,small,fp32,83,12669518
stage2,small,fp32,84,12717359
stage2,small,fp32,85,12699174
stage2,small,fp32,86,12692894
stage2,small,fp32,87,12692411
stage2,small,fp32,88,12685346
stage2,small,fp32,89,12694322
stage2,small,fp32,90,12694534
stage2,small,fp32,91,12683055
stage2,small,fp32,92,12690827
stage2,small,fp32,93,12685113
stage2,small,fp32,94,12683773
stage2,small,fp32,95,12678003
stage2,small,fp32,96,12677723
stage2,small,fp32,97,12671461
stage2,small,fp32,98,12688209
stage2,small,fp32,99,12688568
stage2,small,fp32,100,12685606
stage2,small,fp32,101,12684934
stage2,small,fp32,102,12678309
stage2,small,fp32,103,12687788
stage2,small,fp32,104,12675414
stage2,small,fp32,105,12682326
stage2,small,fp32,106,12677466
stage2,small,fp32,107,12657542
stage2,small,fp32,108,12682506
stage2,small,fp32,109,12683258
stage2,small,fp32,110,12674782
stage2,small,fp32,111,12675943
stage2,small,fp32,112,12673108
stage2,small,fp32,113,12674280
stage2,small,fp32,114,12681422
stage2,small,fp32,115,12678018
stage2,small,fp32,116,12669773
stage2,small,fp32,117,12677018
stage2,small,fp32,118,12681871
stage2,small,fp32,119,12666536
stage2,small,fp32,120,12672233
stage2,small,fp32,121,12678871
stage2,small,fp32,122,12670178
stage2,small,fp32,123,12667832
stage2,small,fp32,124,12680341
stage2,small,fp32,125,12667119
stage2,small,fp32,126,12661522
stage2,small,fp32,127,12659912
stage2,small,fp32,128,12678851
stage2,small,fp32,129,12666090
stage2,small,fp32,130,12666924
stage2,small,fp32,131,12674699
stage2,small,fp32,132,12665909
stage2,small,fp32,133,12662842
stage2,small,fp32,134,12667495
