# stage=stage5_fp32 size=medium precision=fp32 warmup=100 measure=100000 core=3
# isolated_cpus=3 no_turbo=1 perf_paranoid=1
stage,size,precision,iteration,nanoseconds
stage5_fp32,medium,fp32,0,24426988
stage5_fp32,medium,fp32,1,24377240
stage5_fp32,medium,fp32,2,24508814
stage5_fp32,medium,fp32,3,24406460
stage5_fp32,medium,fp32,4,24449101
stage5_fp32,medium,fp32,5,24416181
stage5_fp32,medium,fp32,6,24350037
stage5_fp32,medium,fp32,7,24439689
stage5_fp32,medium,fp32,8,24476223
stage5_fp32,medium,fp32,9,24452067
stage5_fp32,medium,fp32,10,24439150
stage5_fp32,medium,fp32,11,24492254
stage5_fp32,medium,fp32,12,24463353
stage5_fp32,medium,fp32,13,24476910
stage5_fp32,medium,fp32,14,24495724
stage5_fp32,medium,fp32,15,24386687
stage5_fp32,medium,fp32,16,24454452
stage5_fp32,medium,fp32,17,24445166
stage5_fp32,medium,fp32,18,24399294
stage5_fp32,medium,fp32,19,24512580
stage5_fp32,medium,fp32,20,24405329
stage5_fp32,medium,fp32,21,24461550
stage5_fp32,medium,fp32,22,24358339
stage5_fp32,medium,fp32,23,24386521
stage5_fp32,medium,fp32,24,24411963
stage5_fp32,medium,fp32,25,24475874
stage5_fp32,medium,fp32,26,24414398
stage5_fp32,medium,fp32,27,24387500
stage5_fp32,medium,fp32,28,24428046
stage5_fp32,medium,fp32,29,24540846
stage5_fp32,medium,fp32,30,24538135
stage5_fp32,medium,fp32,31,24419023
stage5_fp32,medium,fp32,32,24450318
stage5_fp32,medium,fp32,33,24387793
stage5_fp32,medium,fp32,34,24391711
stage5_fp32,medium,fp32,35,24385038
stage5_fp32,medium,fp32,36,24414550
stage5_fp32,medium,fp32,37,24435007
stage5_fp32,medium,fp32,38,24453297
stage5_fp32,medium,fp32,39,24511367
stage5_fp32,medium,fp32,40,24475541
stage5_fp32,medium,fp32,41,24337617
stage5_fp32,medium,fp32,42,24383553
stage5_fp32,medium,fp32,43,24353370
stage5_fp32,medium,fp32,44,24383061
stage5_fp32,medium,fp32,45,24403727
stage5_fp32,medium,fp32,46,24366591
stage5_fp32,medium,fp32,47,24412566
stage5_fp32,medium,fp32,48,24458534
stage5_fp32,medium,fp32,49,24413220
stage5_fp32,medium,fp32,50,24387494
stage5_fp32,medium,fp32,51,24345072
stage5_fp32,medium,fp32,52,24344017
stage5_fp32,medium,fp32,53,24336847
stage5_fp32,medium,fp32,54,24378816
stage5_fp32,medium,fp32,55,24371033
stage5_fp32,medium,fp32,56,24354789
stage5_fp32,medium,fp32,57,24391423
stage5_fp32,medium,fp32,58,24358669
stage5_fp32,medium,fp32,59,24362305
stage5_fp32,medium,fp32,60,24361318
stage5_fp32,medium,fp32,61,24415522
stage5_fp32,medium,fp32,62,24419866
stage5_fp32,medium,fp32,63,24366768
stage5_fp32,medium,fp32,64,24428441
stage5_fp32,medium,fp32,65,24398079
stage5_fp32,medium,fp32,66,24436956
stage5_fp32,medium,fp32,67,24506566
stage5_fp32,medium,fp32,68,24464416
stage5_fp32,medium,fp32,69,24405968
stage5_fp32,medium,fp32,70,24518500
stage5_fp32,medium,fp32,71,24453001
stage5_fp32,medium,fp32,72,24403189
stage5_fp32,medium,fp32,73,24417215
stage5_fp32,medium,fp32,74,24393948
stage5_fp32,medium,fp32,75,24482791
stage5_fp32,medium,fp32,76,24431509
stage5_fp32,medium,fp32,77,24449454
stage5_fp32,medium,fp32,78,24439424
stage5_fp32,medium,fp32,79,24445227
stage5_fp32,medium,fp32,80,24523510
stage5_fp32,medium,fp32,81,24449689
stage5_fp32,medium,fp32,82,24449238
stage5_fp32,medium,fp32,83,24439196
stage5_fp32,medium,fp32,84,24488479
stage5_fp32,medium,fp32,85,24586302
stage5_fp32,medium,fp32,86,24559353
stage5_fp32,medium,fp32,87,24604691
stage5_fp32,medium,fp32,88,24628106
stage5_fp32,medium,fp32,89,24566880
stage5_fp32,medium,fp32,90,24524794
stage5_fp32,medium,fp32,91,24595843
stage5_fp32,medium,fp32,92,24568437
stage5_fp32,medium,fp32,93,24548520
stage5_fp32,medium,fp32,94,24549320
stage5_fp32,medium,fp32,95,24524930
stage5_fp32,medium,fp32,96,24523852
