# stage=stage5_fp32 size=small precision=fp32 warmup=100 measure=100000 core=3
# isolated_cpus=3 no_turbo=1 perf_paranoid=1
stage,size,precision,iteration,nanoseconds
stage5_fp32,small,fp32,0,5100637
stage5_fp32,small,fp32,1,5097863
stage5_fp32,small,fp32,2,5096861
stage5_fp32,small,fp32,3,5087975
stage5_fp32,small,fp32,4,5074351
stage5_fp32,small,fp32,5,5076660
stage5_fp32,small,fp32,6,5078015
stage5_fp32,small,fp32,7,5077372
stage5_fp32,small,fp32,8,5076974
stage5_fp32,small,fp32,9,5078013
stage5_fp32,small,fp32,10,5077989
stage5_fp32,small,fp32,11,5074406
stage5_fp32,small,fp32,12,5082618
stage5_fp32,small,fp32,13,5070224
stage5_fp32,small,fp32,14,5068631
stage5_fp32,small,fp32,15,5068947
stage5_fp32,small,fp32,16,5069292
stage5_fp32,small,fp32,17,5073790
stage5_fp32,small,fp32,18,5077245
stage5_fp32,small,fp32,19,5076500
stage5_fp32,small,fp32,20,5075991
stage5_fp32,small,fp32,21,5076806
stage5_fp32,small,fp32,22,5076587
stage5_fp32,small,fp32,23,5068293
stage5_fp32,small,fp32,24,5073680
stage5_fp32,small,fp32,25,5070941
stage5_fp32,small,fp32,26,5074007
stage5_fp32,small,fp32,27,5074203
stage5_fp32,small,fp32,28,5071732
stage5_fp32,small,fp32,29,5077988
stage5_fp32,small,fp32,30,5070738
stage5_fp32,small,fp32,31,5068753
stage5_fp32,small,fp32,32,5069561
stage5_fp32,small,fp32,33,5070726
stage5_fp32,small,fp32,34,5072304
stage5_fp32,small,fp32,35,5069952
stage5_fp32,small,fp32,36,5071594
stage5_fp32,small,fp32,37,5067282
stage5_fp32,small,fp32,38,5073161
stage5_fp32,small,fp32,39,5086703
stage5_fp32,small,fp32,40,5076141
stage5_fp32,small,fp32,41,5073619
stage5_fp32,small,fp32,42,5069927
stage5_fp32,small,fp32,43,5080304
stage5_fp32,small,fp32,44,5078805
stage5_fp32,small,fp32,45,5072757
stage5_fp32,small,fp32,46,5080376
stage5_fp32,small,fp32,47,5081163
stage5_fp32,small,fp32,48,5090907
stage5_fp32,small,fp32,49,5081425
stage5_fp32,small,fp32,50,5080680
stage5_fp32,small,fp32,51,5096509
stage5_fp32,small,fp32,52,5097984
stage5_fp32,small,fp32,53,5095456
stage5_fp32,small,fp32,54,5097082
stage5_fp32,small,fp32,55,5089373
stage5_fp32,small,fp32,56,5102624
stage5_fp32,small,fp32,57,5104728
stage5_fp32,small,fp32,58,5073676
stage5_fp32,small,fp32,59,5084588
stage5_fp32,small,fp32,60,5079275
stage5_fp32,small,fp32,61,5077622
stage5_fp32,small,fp32,62,5079435
stage5_fp32,small,fp32,63,5078922
stage5_fp32,small,fp32,64,5078138
stage5_fp32,small,fp32,65,5076793
stage5_fp32,small,fp32,66,5077748
stage5_fp32,small,fp32,67,5076253
stage5_fp32,small,fp32,68,5079753
stage5_fp32,small,fp32,69,5076362
stage5_fp32,small,fp32,70,5075889
stage5_fp32,small,fp32,71,5080178
stage5_fp32,small,fp32,72,5099857
stage5_fp32,small,fp32,73,5099217
stage5_fp32,small,fp32,74,5092554
stage5_fp32,small,fp32,75,5093065
stage5_fp32,small,fp32,76,5083100
stage5_fp32,small,fp32,77,5080053
stage5_fp32,small,fp32,78,5079346
stage5_fp32,small,fp32,79,5078111
stage5_fp32,small,fp32,80,5078428
stage5_fp32,small,fp32,81,5082437
stage5_fp32,small,fp32,82,5076286
stage5_fp32,small,fp32,83,5075106
stage5_fp32,small,fp32,84,5086299
stage5_fp32,small,fp32,85,5088761
stage5_fp32,small,fp32,86,5079527
stage5_fp32,small,fp32,87,5088018
stage5_fp32,small,fp32,88,5088022
stage5_fp32,small,fp32,89,5086735
stage5_fp32,small,fp32,90,5079898
stage5_fp32,small,fp32,91,5080746
stage5_fp32,small,fp32,92,5091159
stage5_fp32,small,fp32,93,5078729
stage5_fp32,small,fp32,94,5073631
stage5_fp32,small,fp32,95,5073462
stage5_fp32,small,fp32,96,5072974
stage5_fp32,small,fp32,97,5077086
stage5_fp32,small,fp32,98,5077187
stage5_fp32,small,fp32,99,5076225
stage5_fp32,small,fp32,100,5075914
stage5_fp32,small,fp32,101,5075184
stage5_fp32,small,fp32,102,5085734
stage5_fp32,small,fp32,103,5086514
stage5_fp32,small,fp32,104,5075603
stage5_fp32,small,fp32,105,5076496
stage5_fp32,small,fp32,106,5075840
stage5_fp32,small,fp32,107,5084110
stage5_fp32,small,fp32,108,5085550
stage5_fp32,small,fp32,109,5075310
stage5_fp32,small,fp32,110,5092250
stage5_fp32,small,fp32,111,5078471
stage5_fp32,small,fp32,112,5085936
stage5_fp32,small,fp32,113,5078978
stage5_fp32,small,fp32,114,5077615
stage5_fp32,small,fp32,115,5091398
stage5_fp32,small,fp32,116,5078944
stage5_fp32,small,fp32,117,5080397
stage5_fp32,small,fp32,118,5093392
stage5_fp32,small,fp32,119,5086584
stage5_fp32,small,fp32,120,5078111
stage5_fp32,small,fp32,121,5078381
stage5_fp32,small,fp32,122,5079152
stage5_fp32,small,fp32,123,5074769
stage5_fp32,small,fp32,124,5075722
stage5_fp32,small,fp32,125,5075698
stage5_fp32,small,fp32,126,5086163
stage5_fp32,small,fp32,127,5074611
stage5_fp32,small,fp32,128,5071014
stage5_fp32,small,fp32,129,5067675
stage5_fp32,small,fp32,130,5069755
stage5_fp32,small,fp32,131,5072153
stage5_fp32,small,fp32,132,5077260
stage5_fp32,small,fp32,133,5097730
stage5_fp32,small,fp32,134,5080919
stage5_fp32,small,fp32,135,5077213
stage5_fp32,small,fp32,136,5069990
stage5_fp32,small,fp32,137,5069337
stage5_fp32,small,fp32,138,5068152
stage5_fp32,small,fp32,139,5070673
stage5_fp32,small,fp32,140,5074818
stage5_fp32,small,fp32,141,5068286
stage5_fp32,small,fp32,142,5072486
stage5_fp32,small,fp32,143,5094350
stage5_fp32,small,fp32,144,5079159
stage5_fp32,small,fp32,145,5073873
stage5_fp32,small,fp32,146,5073038
stage5_fp32,small,fp32,147,5072531
stage5_fp32,small,fp32,148,5074158
stage5_fp32,small,fp32,149,5072969
stage5_fp32,small,fp32,150,5075822
stage5_fp32,small,fp32,151,5090857
stage5_fp32,small,fp32,152,5094694
stage5_fp32,small,fp32,153,5083777
stage5_fp32,small,fp32,154,5082456
stage5_fp32,small,fp32,155,5089938
stage5_fp32,small,fp32,156,5098136
stage5_fp32,small,fp32,157,5084719
stage5_fp32,small,fp32,158,5077716
stage5_fp32,small,fp32,159,5079168
stage5_fp32,small,fp32,160,5076234
stage5_fp32,small,fp32,161,5077313
stage5_fp32,small,fp32,162,5083594
stage5_fp32,small,fp32,163,5079886
stage5_fp32,small,fp32,164,5080475
stage5_fp32,small,fp32,165,5082759
stage5_fp32,small,fp32,166,5085868
stage5_fp32,small,fp32,167,5087590
stage5_fp32,small,fp32,168,5092478
stage5_fp32,small,fp32,169,5092965
stage5_fp32,small,fp32,170,5097322
stage5_fp32,small,fp32,171,5108505
stage5_fp32,small,fp32,172,5094311
stage5_fp32,small,fp32,173,5081899
stage5_fp32,small,fp32,174,5091605
stage5_fp32,small,fp32,175,5083507
stage5_fp32,small,fp32,176,5083783
stage5_fp32,small,fp32,177,5085391
stage5_fp32,small,fp32,178,5085563
stage5_fp32,small,fp32,179,5085080
stage5_fp32,small,fp32,180,5098850
stage5_fp32,small,fp32,181,5087625
stage5_fp32,small,fp32,182,5080168
stage5_fp32,small,fp32,183,5079636
stage5_fp32,small,fp32,184,5079957
stage5_fp32,small,fp32,185,5091854
stage5_fp32,small,fp32,186,5093041
stage5_fp32,small,fp32,187,5088672
stage5_fp32,small,fp32,188,5084921
stage5_fp32,small,fp32,189,5081767
stage5_fp32,small,fp32,190,5082809
stage5_fp32,small,fp32,191,5087255
stage5_fp32,small,fp32,192,5083333
stage5_fp32,small,fp32,193,5082656
stage5_fp32,small,fp32,194,5083563
stage5_fp32,small,fp32,195,5080835
stage5_fp32,small,fp32,196,5081414
stage5_fp32,small,fp32,197,5084824
stage5_fp32,small,fp32,198,5084496
stage5_fp32,small,fp32,199,5085155
stage5_fp32,small,fp32,200,5089789
stage5_fp32,small,fp32,201,5085226
stage5_fp32,small,fp32,202,5088209
stage5_fp32,small,fp32,203,5085318
stage5_fp32,small,fp32,204,5083567
stage5_fp32,small,fp32,205,5084166
stage5_fp32,small,fp32,206,5082567
stage5_fp32,small,fp32,207,5083075
stage5_fp32,small,fp32,208,5085584
stage5_fp32,small,fp32,209,5082120
stage5_fp32,small,fp32,210,5083069
stage5_fp32,small,fp32,211,5082121
stage5_fp32,small,fp32,212,5083946
stage5_fp32,small,fp32,213,5083709
stage5_fp32,small,fp32,214,5086568
stage5_fp32,small,fp32,215,5083016
stage5_fp32,small,fp32,216,5080759
stage5_fp32,small,fp32,217,5083993
stage5_fp32,small,fp32,218,5081883
stage5_fp32,small,fp32,219,5094923
stage5_fp32,small,fp32,220,5093808
stage5_fp32,small,fp32,221,5103344
stage5_fp32,small,fp32,222,5081800
stage5_fp32,small,fp32,223,5084974
stage5_fp32,small,fp32,224,5073867
stage5_fp32,small,fp32,225,5072095
stage5_fp32,small,fp32,226,5080292
stage5_fp32,small,fp32,227,5090785
stage5_fp32,small,fp32,228,5083199
stage5_fp32,small,fp32,229,5081521
stage5_fp32,small,fp32,230,5081588
stage5_fp32,small,fp32,231,5084601
stage5_fp32,small,fp32,232,5081216
stage5_fp32,small,fp32,233,5100828
stage5_fp32,small,fp32,234,5087687
stage5_fp32,small,fp32,235,5085126
stage5_fp32,small,fp32,236,5082982
stage5_fp32,small,fp32,237,5085314
stage5_fp32,small,fp32,238,5083766
stage5_fp32,small,fp32,239,5083926
stage5_fp32,small,fp32,240,5084856
stage5_fp32,small,fp32,241,5084970
stage5_fp32,small,fp32,242,5087941
stage5_fp32,small,fp32,243,5083269
stage5_fp32,small,fp32,244,5082695
stage5_fp32,small,fp32,245,5081353
stage5_fp32,small,fp32,246,5081617
stage5_fp32,small,fp32,247,5081010
stage5_fp32,small,fp32,248,5082185
stage5_fp32,small,fp32,249,5082943
stage5_fp32,small,fp32,250,5081175
stage5_fp32,small,fp32,251,5085988
stage5_fp32,small,fp32,252,5092497
stage5_fp32,small,fp32,253,5102930
stage5_fp32,small,fp32,254,5108320
stage5_fp32,small,fp32,255,5075769
stage5_fp32,small,fp32,256,5082765
stage5_fp32,small,fp32,257,5087797
stage5_fp32,small,fp32,258,5094965
stage5_fp32,small,fp32,259,5080547
stage5_fp32,small,fp32,260,5099807
stage5_fp32,small,fp32,261,5088304
stage5_fp32,small,fp32,262,5073019
stage5_fp32,small,fp32,263,5072014
stage5_fp32,small,fp32,264,5077425
stage5_fp32,small,fp32,265,5076436
stage5_fp32,small,fp32,266,5073299
stage5_fp32,small,fp32,267,5077043
stage5_fp32,small,fp32,268,5080580
stage5_fp32,small,fp32,269,5090965
stage5_fp32,small,fp32,270,5079423
stage5_fp32,small,fp32,271,5109156
stage5_fp32,small,fp32,272,5106690
stage5_fp32,small,fp32,273,5103143
stage5_fp32,small,fp32,274,5093072
stage5_fp32,small,fp32,275,5100271
stage5_fp32,small,fp32,276,5084222
stage5_fp32,small,fp32,277,5078868
stage5_fp32,small,fp32,278,5078932
stage5_fp32,small,fp32,279,5079906
stage5_fp32,small,fp32,280,5095481
stage5_fp32,small,fp32,281,5085733
stage5_fp32,small,fp32,282,5093156
stage5_fp32,small,fp32,283,5097178
stage5_fp32,small,fp32,284,5089850
stage5_fp32,small,fp32,285,5088042
stage5_fp32,small,fp32,286,5087340
stage5_fp32,small,fp32,287,5090278
stage5_fp32,small,fp32,288,5083991
stage5_fp32,small,fp32,289,5080354
stage5_fp32,small,fp32,290,5085126
stage5_fp32,small,fp32,291,5093807
stage5_fp32,small,fp32,292,5093895
stage5_fp32,small,fp32,293,5102730
stage5_fp32,small,fp32,294,5087577
stage5_fp32,small,fp32,295,5091999
stage5_fp32,small,fp32,296,5102260
stage5_fp32,small,fp32,297,5102511
stage5_fp32,small,fp32,298,5087059
stage5_fp32,small,fp32,299,5078132
stage5_fp32,small,fp32,300,5079219
stage5_fp32,small,fp32,301,5074467
stage5_fp32,small,fp32,302,5080396
stage5_fp32,small,fp32,303,5081209
stage5_fp32,small,fp32,304,5084764
stage5_fp32,small,fp32,305,5088597
stage5_fp32,small,fp32,306,5098739
stage5_fp32,small,fp32,307,5087767
stage5_fp32,small,fp32,308,5084499
stage5_fp32,small,fp32,309,5079299
stage5_fp32,small,fp32,310,5082665
stage5_fp32,small,fp32,311,5092869
stage5_fp32,small,fp32,312,5083738
stage5_fp32,small,fp32,313,5074780
stage5_fp32,small,fp32,314,5072163
stage5_fp32,small,fp32,315,5077922
stage5_fp32,small,fp32,316,5077658
stage5_fp32,small,fp32,317,5072798
stage5_fp32,small,fp32,318,5075035
stage5_fp32,small,fp32,319,5074541
stage5_fp32,small,fp32,320,5072660
stage5_fp32,small,fp32,321,5069705
stage5_fp32,small,fp32,322,5080490
stage5_fp32,small,fp32,323,5089531
stage5_fp32,small,fp32,324,5073754
stage5_fp32,small,fp32,325,5071520
stage5_fp32,small,fp32,326,5071282
stage5_fp32,small,fp32,327,5075449
stage5_fp32,small,fp32,328,5070984
stage5_fp32,small,fp32,329,5110781
stage5_fp32,small,fp32,330,5107433
stage5_fp32,small,fp32,331,5112038
stage5_fp32,small,fp32,332,5098314
stage5_fp32,small,fp32,333,5083520
stage5_fp32,small,fp32,334,5081711
stage5_fp32,small,fp32,335,5091823
stage5_fp32,small,fp32,336,5092691
stage5_fp32,small,fp32,337,5097799
stage5_fp32,small,fp32,338,5106542
stage5_fp32,small,fp32,339,5113028
stage5_fp32,small,fp32,340,5092757
stage5_fp32,small,fp32,341,5088229
stage5_fp32,small,fp32,342,5102848
stage5_fp32,small,fp32,343,5114310
stage5_fp32,small,fp32,344,5100755
stage5_fp32,small,fp32,345,5101898
stage5_fp32,small,fp32,346,5091795
stage5_fp32,small,fp32,347,5097177
stage5_fp32,small,fp32,348,5097614
stage5_fp32,small,fp32,349,5087491
stage5_fp32,small,fp32,350,5099470
stage5_fp32,small,fp32,351,5100901
stage5_fp32,small,fp32,352,5091034
stage5_fp32,small,fp32,353,5097796
stage5_fp32,small,fp32,354,5103962
stage5_fp32,small,fp32,355,5111846
stage5_fp32,small,fp32,356,5098640
stage5_fp32,small,fp32,357,5105057
stage5_fp32,small,fp32,358,5097796
stage5_fp32,small,fp32,359,5085988
stage5_fp32,small,fp32,360,5092334
stage5_fp32,small,fp32,361,5096890
stage5_fp32,small,fp32,362,5095613
stage5_fp32,small,fp32,363,5086572
stage5_fp32,small,fp32,364,5076389
stage5_fp32,small,fp32,365,5089249
stage5_fp32,small,fp32,366,5087019
stage5_fp32,small,fp32,367,5091666
stage5_fp32,small,fp32,368,5084260
stage5_fp32,small,fp32,369,5082240
stage5_fp32,small,fp32,370,5075113
stage5_fp32,small,fp32,371,5075417
stage5_fp32,small,fp32,372,5094080
stage5_fp32,small,fp32,373,5077299
stage5_fp32,small,fp32,374,5086491
stage5_fp32,small,fp32,375,5111432
stage5_fp32,small,fp32,376,5092648
stage5_fp32,small,fp32,377,5086925
stage5_fp32,small,fp32,378,5083186
stage5_fp32,small,fp32,379,5083537
stage5_fp32,small,fp32,380,5091990
stage5_fp32,small,fp32,381,5091239
stage5_fp32,small,fp32,382,5077484
stage5_fp32,small,fp32,383,5079398
stage5_fp32,small,fp32,384,5084911
stage5_fp32,small,fp32,385,5094878
stage5_fp32,small,fp32,386,5097653
stage5_fp32,small,fp32,387,5094437
stage5_fp32,small,fp32,388,5093248
stage5_fp32,small,fp32,389,5106719
stage5_fp32,small,fp32,390,5084850
stage5_fp32,small,fp32,391,5090560
stage5_fp32,small,fp32,392,5088525
stage5_fp32,small,fp32,393,5091735
stage5_fp32,small,fp32,394,5102422
stage5_fp32,small,fp32,395,5097510
stage5_fp32,small,fp32,396,5081644
stage5_fp32,small,fp32,397,5088649
stage5_fp32,small,fp32,398,5087018
stage5_fp32,small,fp32,399,5075505
stage5_fp32,small,fp32,400,5087561
stage5_fp32,small,fp32,401,5084864
stage5_fp32,small,fp32,402,5076545
stage5_fp32,small,fp32,403,5083516
stage5_fp32,small,fp32,404,5100387
stage5_fp32,small,fp32,405,5090601
stage5_fp32,small,fp32,406,5085617
stage5_fp32,small,fp32,407,5094494
stage5_fp32,small,fp32,408,5076409
stage5_fp32,small,fp32,409,5080689
stage5_fp32,small,fp32,410,5080017
stage5_fp32,small,fp32,411,5082510
stage5_fp32,small,fp32,412,5083662
stage5_fp32,small,fp32,413,5082303
stage5_fp32,small,fp32,414,5083117
stage5_fp32,small,fp32,415,5083492
stage5_fp32,small,fp32,416,5082670
stage5_fp32,small,fp32,417,5079635
stage5_fp32,small,fp32,418,5078845
stage5_fp32,small,fp32,419,5086476
stage5_fp32,small,fp32,420,5088014
stage5_fp32,small,fp32,421,5079829
stage5_fp32,small,fp32,422,5089868
stage5_fp32,small,fp32,423,5097272
stage5_fp32,small,fp32,424,5098270
stage5_fp32,small,fp32,425,5084001
stage5_fp32,small,fp32,426,5079794
stage5_fp32,small,fp32,427,5085660
stage5_fp32,small,fp32,428,5094665
stage5_fp32,small,fp32,429,5084358
stage5_fp32,small,fp32,430,5085499
stage5_fp32,small,fp32,431,5085084
stage5_fp32,small,fp32,432,5074150
stage5_fp32,small,fp32,433,5074999
stage5_fp32,small,fp32,434,5084542
stage5_fp32,small,fp32,435,5080162
stage5_fp32,small,fp32,436,5101287
stage5_fp32,small,fp32,437,5101386
stage5_fp32,small,fp32,438,5099001
stage5_fp32,small,fp32,439,5098400
stage5_fp32,small,fp32,440,5091817
stage5_fp32,small,fp32,441,5089452
stage5_fp32,small,fp32,442,5099978
stage5_fp32,small,fp32,443,5093186
stage5_fp32,small,fp32,444,5099105
stage5_fp32,small,fp32,445,5110347
stage5_fp32,small,fp32,446,5109761
stage5_fp32,small,fp32,447,5102896
stage5_fp32,small,fp32,448,5096943
stage5_fp32,small,fp32,449,5107593
stage5_fp32,small,fp32,450,5121604
stage5_fp32,small,fp32,451,5086601
stage5_fp32,small,fp32,452,5092116
stage5_fp32,small,fp32,453,5076380
stage5_fp32,small,fp32,454,5068778
stage5_fp32,small,fp32,455,5085158
stage5_fp32,small,fp32,456,5084471
stage5_fp32,small,fp32,457,5079185
stage5_fp32,small,fp32,458,5075377
stage5_fp32,small,fp32,459,5075317
stage5_fp32,small,fp32,460,5076432
stage5_fp32,small,fp32,461,5081636
stage5_fp32,small,fp32,462,5077149
stage5_fp32,small,fp32,463,5076063
stage5_fp32,small,fp32,464,5074771
stage5_fp32,small,fp32,465,5076640
stage5_fp32,small,fp32,466,5081779
stage5_fp32,small,fp32,467,5072044
stage5_fp32,small,fp32,468,5077506
stage5_fp32,small,fp32,469,5079171
stage5_fp32,small,fp32,470,5077318
stage5_fp32,small,fp32,471,5076686
stage5_fp32,small,fp32,472,5077660
stage5_fp32,small,fp32,473,5078328
stage5_fp32,small,fp32,474,5089207
stage5_fp32,small,fp32,475,5098870
stage5_fp32,small,fp32,476,5087843
stage5_fp32,small,fp32,477,5081985
stage5_fp32,small,fp32,478,5077990
stage5_fp32,small,fp32,479,5074427
stage5_fp32,small,fp32,480,5071604
stage5_fp32,small,fp32,481,5072207
stage5_fp32,small,fp32,482,5077219
stage5_fp32,small,fp32,483,5067874
stage5_fp32,small,fp32,484,5063418
stage5_fp32,small,fp32,485,5067335
stage5_fp32,small,fp32,486,5065973
stage5_fp32,small,fp32,487,5064106
stage5_fp32,small,fp32,488,5065206
stage5_fp32,small,fp32,489,5063228
stage5_fp32,small,fp32,490,5066918
stage5_fp32,small,fp32,491,5067580
stage5_fp32,small,fp32,492,5068140
stage5_fp32,small,fp32,493,5067624
stage5_fp32,small,fp32,494,5065657
stage5_fp32,small,fp32,495,5067746
stage5_fp32,small,fp32,496,5065797
stage5_fp32,small,fp32,497,5067789
stage5_fp32,small,fp32,498,5066512
stage5_fp32,small,fp32,499,5072819
stage5_fp32,small,fp32,500,5079555
stage5_fp32,small,fp32,501,5070010
stage5_fp32,small,fp32,502,5076222
stage5_fp32,small,fp32,503,5073886
stage5_fp32,small,fp32,504,5076886
stage5_fp32,small,fp32,505,5069007
stage5_fp32,small,fp32,506,5069050
stage5_fp32,small,fp32,507,5077089
stage5_fp32,small,fp32,508,5069358
stage5_fp32,small,fp32,509,5070345
stage5_fp32,small,fp32,510,5077181
stage5_fp32,small,fp32,511,5075479
stage5_fp32,small,fp32,512,5073501
stage5_fp32,small,fp32,513,5074713
stage5_fp32,small,fp32,514,5075001
stage5_fp32,small,fp32,515,5076365
stage5_fp32,small,fp32,516,5079103
stage5_fp32,small,fp32,517,5087139
stage5_fp32,small,fp32,518,5088958
stage5_fp32,small,fp32,519,5086038
stage5_fp32,small,fp32,520,5084277
stage5_fp32,small,fp32,521,5085114
stage5_fp32,small,fp32,522,5075304
stage5_fp32,small,fp32,523,5091962
stage5_fp32,small,fp32,524,5086999
stage5_fp32,small,fp32,525,5087376
stage5_fp32,small,fp32,526,5103469
stage5_fp32,small,fp32,527,5093675
stage5_fp32,small,fp32,528,5082079
stage5_fp32,small,fp32,529,5078975
stage5_fp32,small,fp32,530,5079796
stage5_fp32,small,fp32,531,5078989
stage5_fp32,small,fp32,532,5074635
stage5_fp32,small,fp32,533,5073552
stage5_fp32,small,fp32,534,5077370
stage5_fp32,small,fp32,535,5088275
stage5_fp32,small,fp32,536,5084431
stage5_fp32,small,fp32,537,5074877
stage5_fp32,small,fp32,538,5075172
stage5_fp32,small,fp32,539,5073255
stage5_fp32,small,fp32,540,5071815
stage5_fp32,small,fp32,541,5080147
stage5_fp32,small,fp32,542,5074546
stage5_fp32,small,fp32,543,5081150
stage5_fp32,small,fp32,544,5077821
stage5_fp32,small,fp32,545,5074962
stage5_fp32,small,fp32,546,5076877
stage5_fp32,small,fp32,547,5076363
stage5_fp32,small,fp32,548,5084596
stage5_fp32,small,fp32,549,5084034
stage5_fp32,small,fp32,550,5079986
stage5_fp32,small,fp32,551,5078595
stage5_fp32,small,fp32,552,5078553
stage5_fp32,small,fp32,553,5080783
stage5_fp32,small,fp32,554,5073280
stage5_fp32,small,fp32,555,5092677
stage5_fp32,small,fp32,556,5084292
stage5_fp32,small,fp32,557,5068688
stage5_fp32,small,fp32,558,5068019
stage5_fp32,small,fp32,559,5072667
stage5_fp32,small,fp32,560,5070735
stage5_fp32,small,fp32,561,5074678
stage5_fp32,small,fp32,562,5074145
stage5_fp32,small,fp32,563,5073509
stage5_fp32,small,fp32,564,5080896
stage5_fp32,small,fp32,565,5093889
stage5_fp32,small,fp32,566,5093441
stage5_fp32,small,fp32,567,5081640
stage5_fp32,small,fp32,568,5076930
stage5_fp32,small,fp32,569,5083820
stage5_fp32,small,fp32,570,5086211
stage5_fp32,small,fp32,571,5095858
stage5_fp32,small,fp32,572,5101699
stage5_fp32,small,fp32,573,5077573
stage5_fp32,small,fp32,574,5094140
stage5_fp32,small,fp32,575,5091345
