# stage=torchscript size=medium precision=fp32 warmup=200 measure=10000 core=3
stage,size,precision,iteration,nanoseconds
torchscript,medium,fp32,0,11674432
torchscript,medium,fp32,1,11615105
torchscript,medium,fp32,2,11636769
torchscript,medium,fp32,3,11523306
torchscript,medium,fp32,4,11485696
torchscript,medium,fp32,5,11577861
torchscript,medium,fp32,6,8560965
torchscript,medium,fp32,7,11540208
torchscript,medium,fp32,8,11499044
torchscript,medium,fp32,9,11460410
torchscript,medium,fp32,10,11540944
torchscript,medium,fp32,11,11560658
torchscript,medium,fp32,12,8539378
torchscript,medium,fp32,13,11636396
torchscript,medium,fp32,14,11615440
torchscript,medium,fp32,15,11537842
torchscript,medium,fp32,16,11494544
torchscript,medium,fp32,17,11590183
torchscript,medium,fp32,18,11582600
torchscript,medium,fp32,19,8530506
torchscript,medium,fp32,20,11570512
torchscript,medium,fp32,21,11498173
torchscript,medium,fp32,22,11569476
torchscript,medium,fp32,23,11543473
torchscript,medium,fp32,24,11575531
torchscript,medium,fp32,25,11604577
torchscript,medium,fp32,26,8646799
torchscript,medium,fp32,27,11591001
torchscript,medium,fp32,28,11569838
torchscript,medium,fp32,29,11569085
torchscript,medium,fp32,30,11598671
torchscript,medium,fp32,31,11554728
torchscript,medium,fp32,32,11497622
torchscript,medium,fp32,33,8555378
torchscript,medium,fp32,34,11563230
torchscript,medium,fp32,35,11567970
torchscript,medium,fp32,36,11546834
torchscript,medium,fp32,37,11622067
torchscript,medium,fp32,38,11596218
torchscript,medium,fp32,39,11534889
torchscript,medium,fp32,40,8490308
torchscript,medium,fp32,41,11531998
torchscript,medium,fp32,42,11565143
torchscript,medium,fp32,43,11534617
torchscript,medium,fp32,44,11476685
torchscript,medium,fp32,45,11553323
torchscript,medium,fp32,46,11604082
torchscript,medium,fp32,47,8570527
torchscript,medium,fp32,48,11509735
torchscript,medium,fp32,49,11557874
torchscript,medium,fp32,50,11546034
torchscript,medium,fp32,51,11626574
torchscript,medium,fp32,52,11517076
torchscript,medium,fp32,53,8574321
torchscript,medium,fp32,54,11594689
torchscript,medium,fp32,55,11509655
torchscript,medium,fp32,56,11455537
torchscript,medium,fp32,57,11533396
torchscript,medium,fp32,58,11557556
torchscript,medium,fp32,59,11545771
torchscript,medium,fp32,60,8495115
torchscript,medium,fp32,61,11601194
torchscript,medium,fp32,62,11579371
torchscript,medium,fp32,63,11522105
torchscript,medium,fp32,64,11526095
torchscript,medium,fp32,65,11542031
torchscript,medium,fp32,66,8568085
torchscript,medium,fp32,67,11529385
torchscript,medium,fp32,68,11514637
torchscript,medium,fp32,69,11563267
torchscript,medium,fp32,70,11613053
torchscript,medium,fp32,71,11603853
torchscript,medium,fp32,72,11590904
torchscript,medium,fp32,73,8586628
torchscript,medium,fp32,74,11560659
torchscript,medium,fp32,75,11569403
torchscript,medium,fp32,76,11579367
torchscript,medium,fp32,77,11563640
torchscript,medium,fp32,78,11523839
torchscript,medium,fp32,79,11537149
torchscript,medium,fp32,80,8540831
torchscript,medium,fp32,81,11586999
torchscript,medium,fp32,82,11628979
torchscript,medium,fp32,83,11555725
torchscript,medium,fp32,84,11541050
torchscript,medium,fp32,85,11514647
torchscript,medium,fp32,86,11551037
torchscript,medium,fp32,87,8491880
torchscript,medium,fp32,88,11547371
torchscript,medium,fp32,89,11540823
torchscript,medium,fp32,90,11510786
torchscript,medium,fp32,91,11555421
torchscript,medium,fp32,92,11562197
torchscript,medium,fp32,93,11579056
torchscript,medium,fp32,94,8587217
torchscript,medium,fp32,95,11557161
torchscript,medium,fp32,96,11521740
torchscript,medium,fp32,97,11561789
torchscript,medium,fp32,98,11587086
torchscript,medium,fp32,99,11534610
torchscript,medium,fp32,100,8506155
torchscript,medium,fp32,101,11536880
torchscript,medium,fp32,102,11529756
torchscript,medium,fp32,103,11522909
torchscript,medium,fp32,104,11589668
torchscript,medium,fp32,105,11548986
torchscript,medium,fp32,106,11550064
torchscript,medium,fp32,107,8490819
torchscript,medium,fp32,108,11477469
torchscript,medium,fp32,109,11513923
torchscript,medium,fp32,110,11556624
torchscript,medium,fp32,111,11546322
torchscript,medium,fp32,112,11568141
torchscript,medium,fp32,113,8607643
torchscript,medium,fp32,114,11603555
torchscript,medium,fp32,115,11575662
torchscript,medium,fp32,116,11548169
torchscript,medium,fp32,117,11570859
torchscript,medium,fp32,118,11588157
torchscript,medium,fp32,119,11582658
torchscript,medium,fp32,120,11586241
torchscript,medium,fp32,121,8515518
torchscript,medium,fp32,122,11618236
torchscript,medium,fp32,123,11596341
torchscript,medium,fp32,124,11575649
torchscript,medium,fp32,125,11574192
torchscript,medium,fp32,126,11521772
torchscript,medium,fp32,127,8502764
torchscript,medium,fp32,128,11586192
torchscript,medium,fp32,129,11597971
torchscript,medium,fp32,130,11561463
torchscript,medium,fp32,131,11518612
torchscript,medium,fp32,132,11478138
torchscript,medium,fp32,133,11512109
torchscript,medium,fp32,134,8568665
torchscript,medium,fp32,135,11584038
torchscript,medium,fp32,136,11603278
torchscript,medium,fp32,137,11556436
torchscript,medium,fp32,138,11458442
torchscript,medium,fp32,139,11521812
torchscript,medium,fp32,140,11558049
torchscript,medium,fp32,141,8582519
torchscript,medium,fp32,142,11605160
torchscript,medium,fp32,143,11558488
torchscript,medium,fp32,144,11509444
torchscript,medium,fp32,145,11532255
torchscript,medium,fp32,146,11567425
torchscript,medium,fp32,147,11588041
torchscript,medium,fp32,148,8629594
torchscript,medium,fp32,149,11604437
torchscript,medium,fp32,150,11497750
torchscript,medium,fp32,151,11554556
torchscript,medium,fp32,152,11562552
torchscript,medium,fp32,153,11559904
torchscript,medium,fp32,154,11561035
torchscript,medium,fp32,155,8551054
torchscript,medium,fp32,156,11563926
torchscript,medium,fp32,157,11602930
torchscript,medium,fp32,158,11536771
torchscript,medium,fp32,159,11534769
torchscript,medium,fp32,160,11552513
torchscript,medium,fp32,161,8519391
torchscript,medium,fp32,162,11549968
torchscript,medium,fp32,163,11569953
torchscript,medium,fp32,164,11527928
torchscript,medium,fp32,165,11550080
torchscript,medium,fp32,166,11605136
torchscript,medium,fp32,167,11597531
torchscript,medium,fp32,168,8566280
torchscript,medium,fp32,169,11511623
torchscript,medium,fp32,170,11573092
torchscript,medium,fp32,171,11500513
torchscript,medium,fp32,172,11554812
torchscript,medium,fp32,173,11528799
torchscript,medium,fp32,174,11499497
torchscript,medium,fp32,175,8494190
torchscript,medium,fp32,176,11554157
torchscript,medium,fp32,177,11558404
torchscript,medium,fp32,178,11554385
torchscript,medium,fp32,179,11503124
torchscript,medium,fp32,180,11544580
torchscript,medium,fp32,181,8504895
torchscript,medium,fp32,182,11588680
torchscript,medium,fp32,183,11524420
torchscript,medium,fp32,184,11585887
torchscript,medium,fp32,185,11544880
torchscript,medium,fp32,186,11473944
torchscript,medium,fp32,187,11499927
torchscript,medium,fp32,188,8616083
torchscript,medium,fp32,189,11595102
torchscript,medium,fp32,190,11604328
torchscript,medium,fp32,191,11578677
torchscript,medium,fp32,192,11545710
torchscript,medium,fp32,193,11510776
torchscript,medium,fp32,194,11573571
torchscript,medium,fp32,195,8518069
torchscript,medium,fp32,196,11553675
torchscript,medium,fp32,197,11504693
torchscript,medium,fp32,198,11480250
torchscript,medium,fp32,199,11539432
torchscript,medium,fp32,200,11578131
torchscript,medium,fp32,201,8587296
torchscript,medium,fp32,202,11568131
torchscript,medium,fp32,203,11529344
torchscript,medium,fp32,204,11545399
torchscript,medium,fp32,205,11618734
torchscript,medium,fp32,206,11615754
torchscript,medium,fp32,207,11619605
torchscript,medium,fp32,208,8585075
torchscript,medium,fp32,209,11533600
torchscript,medium,fp32,210,11573733
torchscript,medium,fp32,211,11570729
torchscript,medium,fp32,212,11556544
torchscript,medium,fp32,213,11527143
torchscript,medium,fp32,214,11577953
torchscript,medium,fp32,215,8587370
torchscript,medium,fp32,216,11561269
torchscript,medium,fp32,217,11510195
torchscript,medium,fp32,218,11580233
torchscript,medium,fp32,219,11646332
torchscript,medium,fp32,220,11617624
torchscript,medium,fp32,221,11565047
torchscript,medium,fp32,222,8511368
torchscript,medium,fp32,223,11592500
torchscript,medium,fp32,224,11581879
torchscript,medium,fp32,225,11522295
torchscript,medium,fp32,226,11592230
torchscript,medium,fp32,227,11593184
torchscript,medium,fp32,228,11551385
torchscript,medium,fp32,229,8451956
torchscript,medium,fp32,230,11617324
torchscript,medium,fp32,231,11712557
torchscript,medium,fp32,232,11659516
torchscript,medium,fp32,233,11580061
torchscript,medium,fp32,234,11560325
torchscript,medium,fp32,235,11603637
torchscript,medium,fp32,236,11528135
torchscript,medium,fp32,237,8545540
torchscript,medium,fp32,238,11596756
torchscript,medium,fp32,239,11617439
torchscript,medium,fp32,240,11564536
torchscript,medium,fp32,241,11473824
torchscript,medium,fp32,242,11544566
torchscript,medium,fp32,243,8564625
torchscript,medium,fp32,244,11559589
torchscript,medium,fp32,245,11567074
torchscript,medium,fp32,246,11513085
torchscript,medium,fp32,247,11629328
torchscript,medium,fp32,248,11593541
torchscript,medium,fp32,249,11559601
torchscript,medium,fp32,250,8597200
torchscript,medium,fp32,251,8560137
torchscript,medium,fp32,252,11547926
torchscript,medium,fp32,253,11515726
torchscript,medium,fp32,254,11603590
torchscript,medium,fp32,255,11613971
torchscript,medium,fp32,256,11571050
torchscript,medium,fp32,257,8502507
torchscript,medium,fp32,258,11519760
torchscript,medium,fp32,259,11523901
torchscript,medium,fp32,260,11519488
torchscript,medium,fp32,261,11571578
torchscript,medium,fp32,262,11599779
torchscript,medium,fp32,263,11612924
torchscript,medium,fp32,264,8609496
torchscript,medium,fp32,265,11584845
torchscript,medium,fp32,266,11629639
torchscript,medium,fp32,267,11600437
torchscript,medium,fp32,268,11550077
torchscript,medium,fp32,269,11497262
torchscript,medium,fp32,270,11548329
torchscript,medium,fp32,271,8571628
torchscript,medium,fp32,272,11545142
torchscript,medium,fp32,273,11480069
torchscript,medium,fp32,274,11490951
torchscript,medium,fp32,275,11535894
torchscript,medium,fp32,276,11575467
torchscript,medium,fp32,277,11562724
torchscript,medium,fp32,278,8574724
torchscript,medium,fp32,279,11657795
torchscript,medium,fp32,280,11607762
torchscript,medium,fp32,281,11512782
torchscript,medium,fp32,282,11503703
torchscript,medium,fp32,283,11581075
torchscript,medium,fp32,284,11547629
torchscript,medium,fp32,285,8562738
torchscript,medium,fp32,286,11669071
torchscript,medium,fp32,287,11633505
torchscript,medium,fp32,288,14596665
torchscript,medium,fp32,289,11577357
torchscript,medium,fp32,290,11551999
torchscript,medium,fp32,291,11605643
torchscript,medium,fp32,292,8579868
torchscript,medium,fp32,293,11573192
torchscript,medium,fp32,294,11615417
torchscript,medium,fp32,295,11596953
torchscript,medium,fp32,296,11624072
torchscript,medium,fp32,297,11597437
torchscript,medium,fp32,298,11629157
torchscript,medium,fp32,299,11592712
torchscript,medium,fp32,300,8589217
torchscript,medium,fp32,301,11568159
torchscript,medium,fp32,302,11535551
torchscript,medium,fp32,303,11510943
torchscript,medium,fp32,304,11586487
torchscript,medium,fp32,305,11592910
torchscript,medium,fp32,306,11603728
torchscript,medium,fp32,307,8550451
torchscript,medium,fp32,308,11641549
torchscript,medium,fp32,309,11673761
torchscript,medium,fp32,310,11652444
torchscript,medium,fp32,311,11530284
torchscript,medium,fp32,312,11588163
torchscript,medium,fp32,313,11551368
torchscript,medium,fp32,314,8515056
torchscript,medium,fp32,315,11546639
torchscript,medium,fp32,316,11631046
torchscript,medium,fp32,317,11577388
torchscript,medium,fp32,318,11636738
torchscript,medium,fp32,319,11560028
torchscript,medium,fp32,320,11535989
torchscript,medium,fp32,321,8495170
torchscript,medium,fp32,322,11577973
torchscript,medium,fp32,323,11565061
torchscript,medium,fp32,324,11584011
torchscript,medium,fp32,325,11499105
torchscript,medium,fp32,326,11488999
torchscript,medium,fp32,327,11532851
torchscript,medium,fp32,328,8604819
torchscript,medium,fp32,329,11587736
torchscript,medium,fp32,330,11562570
torchscript,medium,fp32,331,11517392
torchscript,medium,fp32,332,11558894
torchscript,medium,fp32,333,11548108
torchscript,medium,fp32,334,8493419
torchscript,medium,fp32,335,11653456
torchscript,medium,fp32,336,11609943
torchscript,medium,fp32,337,11559558
torchscript,medium,fp32,338,11497247
torchscript,medium,fp32,339,11562106
torchscript,medium,fp32,340,11566594
torchscript,medium,fp32,341,8542273
torchscript,medium,fp32,342,11603834
torchscript,medium,fp32,343,11632643
torchscript,medium,fp32,344,11599832
torchscript,medium,fp32,345,11559741
torchscript,medium,fp32,346,11576012
