# stage=torchscript size=small precision=fp32 warmup=200 measure=10000 core=3
stage,size,precision,iteration,nanoseconds
torchscript,small,fp32,0,1060161
torchscript,small,fp32,1,1063648
torchscript,small,fp32,2,4073279
torchscript,small,fp32,3,1058436
torchscript,small,fp32,4,1057486
torchscript,small,fp32,5,4071440
torchscript,small,fp32,6,1042996
torchscript,small,fp32,7,1044431
torchscript,small,fp32,8,4068308
torchscript,small,fp32,9,1052553
torchscript,small,fp32,10,1071563
torchscript,small,fp32,11,4105744
torchscript,small,fp32,12,1063568
torchscript,small,fp32,13,4051929
torchscript,small,fp32,14,1080021
torchscript,small,fp32,15,1068962
torchscript,small,fp32,16,4086937
torchscript,small,fp32,17,1074905
torchscript,small,fp32,18,1057296
torchscript,small,fp32,19,4088187
torchscript,small,fp32,20,1060277
torchscript,small,fp32,21,1059009
torchscript,small,fp32,22,4084250
torchscript,small,fp32,23,1072017
torchscript,small,fp32,24,1053564
torchscript,small,fp32,25,4071507
torchscript,small,fp32,26,1051579
torchscript,small,fp32,27,4057719
torchscript,small,fp32,28,1049972
torchscript,small,fp32,29,1045226
torchscript,small,fp32,30,4046791
torchscript,small,fp32,31,1040997
torchscript,small,fp32,32,1039419
torchscript,small,fp32,33,4106822
torchscript,small,fp32,34,1096763
torchscript,small,fp32,35,1059993
torchscript,small,fp32,36,4072149
torchscript,small,fp32,37,1063545
torchscript,small,fp32,38,1044295
torchscript,small,fp32,39,4063234
torchscript,small,fp32,40,1043312
torchscript,small,fp32,41,1036854
torchscript,small,fp32,42,4082217
torchscript,small,fp32,43,1056676
torchscript,small,fp32,44,4065837
torchscript,small,fp32,45,1063886
torchscript,small,fp32,46,1045431
torchscript,small,fp32,47,4063657
torchscript,small,fp32,48,1070636
torchscript,small,fp32,49,1064473
torchscript,small,fp32,50,4070776
torchscript,small,fp32,51,1062399
torchscript,small,fp32,52,1048158
torchscript,small,fp32,53,4079932
torchscript,small,fp32,54,1042665
torchscript,small,fp32,55,1048740
torchscript,small,fp32,56,4117951
torchscript,small,fp32,57,1087941
torchscript,small,fp32,58,4081753
torchscript,small,fp32,59,1080597
torchscript,small,fp32,60,1059644
torchscript,small,fp32,61,4069197
torchscript,small,fp32,62,1070850
torchscript,small,fp32,63,1053771
torchscript,small,fp32,64,4076258
torchscript,small,fp32,65,1056928
torchscript,small,fp32,66,1056495
torchscript,small,fp32,67,4069119
torchscript,small,fp32,68,1042842
torchscript,small,fp32,69,1050308
torchscript,small,fp32,70,4062379
torchscript,small,fp32,71,1067171
torchscript,small,fp32,72,1058758
torchscript,small,fp32,73,4086295
torchscript,small,fp32,74,1056540
torchscript,small,fp32,75,4058022
torchscript,small,fp32,76,1062520
torchscript,small,fp32,77,1053604
torchscript,small,fp32,78,4087174
torchscript,small,fp32,79,1068444
torchscript,small,fp32,80,1067979
torchscript,small,fp32,81,4102619
torchscript,small,fp32,82,1058380
torchscript,small,fp32,83,1051191
torchscript,small,fp32,84,4081864
torchscript,small,fp32,85,1075253
torchscript,small,fp32,86,1059306
torchscript,small,fp32,87,4066990
torchscript,small,fp32,88,1080540
torchscript,small,fp32,89,4098127
torchscript,small,fp32,90,1068934
torchscript,small,fp32,91,1078287
torchscript,small,fp32,92,4127832
torchscript,small,fp32,93,1087138
torchscript,small,fp32,94,1085870
torchscript,small,fp32,95,4079715
torchscript,small,fp32,96,1079762
torchscript,small,fp32,97,1065339
torchscript,small,fp32,98,4070918
torchscript,small,fp32,99,1049916
torchscript,small,fp32,100,4058167
torchscript,small,fp32,101,1061652
torchscript,small,fp32,102,1051546
torchscript,small,fp32,103,4070419
torchscript,small,fp32,104,1069085
torchscript,small,fp32,105,1051351
torchscript,small,fp32,106,4071336
torchscript,small,fp32,107,1077391
torchscript,small,fp32,108,1047838
torchscript,small,fp32,109,4061756
torchscript,small,fp32,110,1044002
torchscript,small,fp32,111,1048969
torchscript,small,fp32,112,4068733
torchscript,small,fp32,113,1048389
torchscript,small,fp32,114,1046780
torchscript,small,fp32,115,4062246
torchscript,small,fp32,116,1048262
torchscript,small,fp32,117,4077506
torchscript,small,fp32,118,1106278
torchscript,small,fp32,119,1065394
torchscript,small,fp32,120,4121828
torchscript,small,fp32,121,1086503
torchscript,small,fp32,122,1048578
torchscript,small,fp32,123,4061584
torchscript,small,fp32,124,1075775
torchscript,small,fp32,125,1097724
torchscript,small,fp32,126,4083215
torchscript,small,fp32,127,1057258
torchscript,small,fp32,128,1048160
torchscript,small,fp32,129,4054950
torchscript,small,fp32,130,1051800
torchscript,small,fp32,131,4058422
torchscript,small,fp32,132,1055958
torchscript,small,fp32,133,1050097
torchscript,small,fp32,134,4091575
torchscript,small,fp32,135,1085619
torchscript,small,fp32,136,1080587
torchscript,small,fp32,137,4076155
torchscript,small,fp32,138,1048213
torchscript,small,fp32,139,1045117
torchscript,small,fp32,140,4056913
torchscript,small,fp32,141,1047091
torchscript,small,fp32,142,1039650
torchscript,small,fp32,143,4072477
torchscript,small,fp32,144,1069596
torchscript,small,fp32,145,4059554
torchscript,small,fp32,146,1088496
torchscript,small,fp32,147,1057565
torchscript,small,fp32,148,4072563
torchscript,small,fp32,149,1070744
torchscript,small,fp32,150,1089038
torchscript,small,fp32,151,4088701
torchscript,small,fp32,152,1051377
torchscript,small,fp32,153,1046818
torchscript,small,fp32,154,4094414
torchscript,small,fp32,155,1058674
torchscript,small,fp32,156,1052022
torchscript,small,fp32,157,4113409
torchscript,small,fp32,158,1107537
torchscript,small,fp32,159,4084713
torchscript,small,fp32,160,1069975
torchscript,small,fp32,161,1061557
torchscript,small,fp32,162,4101399
torchscript,small,fp32,163,1064326
torchscript,small,fp32,164,1058753
torchscript,small,fp32,165,4088921
torchscript,small,fp32,166,1062685
torchscript,small,fp32,167,1055665
torchscript,small,fp32,168,4064628
torchscript,small,fp32,169,1046468
torchscript,small,fp32,170,1042633
torchscript,small,fp32,171,4065433
torchscript,small,fp32,172,1058401
torchscript,small,fp32,173,4094816
torchscript,small,fp32,174,1093245
torchscript,small,fp32,175,1056069
torchscript,small,fp32,176,4055246
torchscript,small,fp32,177,1046931
torchscript,small,fp32,178,1046256
torchscript,small,fp32,179,4083799
torchscript,small,fp32,180,1073603
