stage,size,precision,p50_ns,p99_ns,p999_ns,gap_p99_p50,ci_p99_lo,ci_p99_hi,n_samples,speedup_vs_stage0
stage0,medium,fp32,85204037.0,85556957.89,85770163.50000001,352920.8900000006,85553458.0585,85561508.074,100000,1.0
stage0,small,fp32,12592708.5,27680428.2,27728985.228,15087719.7,27679297.22,27681347.006,100000,1.0
stage1,medium,fp32,85780486.5,85944961.08,85979253.007,164474.5799999982,85943704.0975,85945973.72,100000,0.9954854457419693
stage1,small,fp32,12621137.5,12697483.08,12708298.045,76345.58000000007,12696925.13875,12698190.0715,100000,2.1799933125014253
stage2,medium,fp32,85670412.0,85765719.01,85797826.15,95307.01000000536,85764911.3835,85766660.0,100000,0.9975659141856472
stage2,small,fp32,12668025.0,12686113.0,12691113.033,18088.0,12685971.08,12686229.00025,100000,2.1819471574941827
stage3,medium,fp32,76668802.5,76743732.12,76771575.143,74929.62000000477,76743201.0,76744626.32,100000,1.114839681711325
stage3,small,fp32,13007566.0,13022624.05,13028334.056,15058.050000000745,13022492.9205,13022769.38225,100000,2.1255645631572997
stage4a,medium,int8_pertensor,34462305.5,34568515.44,34855973.091,106209.93999999762,34563920.858,34572824.925,100000,2.4749965915805614
stage4a,small,int8_pertensor,6914608.5,6928447.01,6936752.038,13838.509999999776,6928327.0,6928563.2085,100000,3.995185091269104
stage4b,medium,int8_perchannel,34465123.5,34550707.09,34578552.17,85583.59000000358,34549902.9015,34551537.74025,100000,2.476272270409271
stage4b,small,int8_perchannel,6922189.0,6945035.01,6949879.01,22846.009999999776,6944876.09975,6945194.12375,100000,3.9856427160041057
stage5_fp32,medium,fp32,24410109.5,24544806.26,24619437.207000002,134696.76000000164,24543224.72775,24546628.56375,100000,3.4857459041927674
stage5_fp32,small,fp32,5083356.0,5111504.05,5122294.099,28148.049999999814,5111197.06,5111841.17375,100000,5.415319625932802
pytorch_eager,medium,fp32,11538308.0,11877746.8,12244470.078000464,339438.80000000075,11866017.45,11890038.237,10000,7.203130301615791
pytorch_eager,small,fp32,1187091.0,4243708.16,4273241.174000001,3056617.16,4240160.24,4246094.81,10000,6.522698346909887
torchscript,medium,fp32,11550402.0,11668109.68,11893547.198000534,117707.6799999997,11661759.38,11674432.0,10000,7.3325465937855325
torchscript,small,fp32,1067980.0,4115765.7,4142716.671,3047785.7,4113989.05625,4117951.49,10000,6.725462579174514
onnxruntime,medium,fp32,10541244.5,10692640.11,10798274.559,151395.6099999994,10688192.69,10698151.44,10000,8.001481113161677
onnxruntime,small,fp32,852238.5,3887464.6,3909631.092,3035226.1,3885783.63,3889211.0,10000,7.120432222070909
numpy,medium,fp32,30267415.5,33412494.76,33695127.36800001,3145079.2600000016,33386197.944,33438460.65,2000,2.5606276485653234
numpy,small,fp32,6773785.5,9868492.11,9958549.613,3094706.6099999994,9852845.78225,9879352.38,2000,2.8049298607586364
